English	Finnish
Bay of Bengal	Bengalinlahti
Bay of Biscay	Biskajanlahti
Bayonet	Pistin
Bayonne	Bayonne
Beach	Uimaranta
Beagle	Beagle
Beak	Nokka
Bear	Karhut
Beaufort Sea	Beaufortinmeri
Beaufort scale	Boforiasteikko
Beaver	Majavat
Bebop	Bebop
Becquerel	Becquerel
Bed	Vuode
Bede	Beda Venerabilis
Bedouin	Beduiinit
Bee	Mehiläinen
Beech	Pyökit
Beekeeping	Luokka:Mehiläisten hoito
Beer	Olut
Beer	Luokka:Olut
Beetle	Kovakuoriaiset
Behaviorism	Käyttäytymistiede
Beijing	Peking
Beirut	Beirut
Belarus	Valko-Venäjä
Belarus	Luokka:Valko-Venäjä
Belfast	Belfast
Belgium	Belgia
Belgium	Luokka:Belgia
Belgrade	Belgrad
Belisarius	Belisarios
Belize	Belize
Belize	Luokka:Belize
Bellerophon	Bellerofon
Belly dance	Itämainen tanssi
Belo Horizonte	Belo Horizonte
Beluga	Maitovalas
Benelux	Benelux
Bengal	Bengal
Benghazi	Bengasi
Benin	Benin
Benin	Luokka:Benin
Benito Mussolini	Benito Mussolini
Benjamin Britten	Benjamin Britten
Benjamin Disraeli	Benjamin Disraeli
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Benny Goodman	Benny Goodman
Beowulf	Beowulf
Bergen	Bergen
Bering Sea	Beringinmeri
Bering Strait	Beringinsalmi
Berkelium	Berkelium
Berkshire	Berkshire
Berlin	Berliini
Berlin	Luokka:Berliini
Bermuda	Bermuda
Bermuda	Luokka:Bermuda
Bermuda Triangle	Bermudan kolmio
Bernardo Bertolucci	Bernardo Bertolucci
Berne	Bern
Bernhard Riemann	Bernhard Riemann
Berry	Marja
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Beryl	Berylli
Beryllium	Beryllium
Beta (letter)	Beeta
Beta decay	Beetahajoaminen
Betelgeuse	Betelgeuze
Bethlehem	Betlehem
Bette Davis	Bette Davis
Beverly Hills	Beverly Hills
Bhutan	Bhutan
Bhutan	Luokka:Bhutan
Bible	Raamattu
Bible	Luokka:Raamattu
Bibliography	Bibliografia
Bicycle	Polkupyörä
Big Bang	Alkuräjähdys
Bihar	Bihar
Bikini	Bikinit
Bile	Sappi
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Billy Wilder	Billy Wilder
Binary star	Kaksoistähti
Binoculars	Kiikari
Biochemistry	Biokemia
Biochemistry	Luokka:Biokemia
Biodiversity	Biodiversiteetti
Biogeography	Eliömaantiede
Biography	Elämäkerta
Biography	Teemasivu:Henkilöt
Biological warfare	Biologinen ase
Biology	Biologia
Biology	Luokka:Biologia
Biology	Teemasivu:Biologia
Biomass	Biomassa
Biome	Biomi
