English	Croatian
Bisexuality	Biseksualnost
Bishkek	Biškek
Bishop	Biskup
Bishop (chess)	Lovac (šah)
Bismarck (disambiguation)	Bismarck (razdvojba)
Bismuth	Bizmut
Bissau	Bissau
Bit	Bit
Bivalvia	Školjkaši
Black	Crna
Black Death	Doba kuge
Black Forest	Schwarzwald
Black Sea	Crno more
Black Stork	Crna roda
Black body	Crno tijelo
Black hole	Crna rupa
Blackbird	Kos
Blaise Pascal	Blaise Pascal
Blender (software)	Blender
Blindness	Sljepoća
Blitzkrieg	Blitzkrieg
Bloemfontein	Bloemfontein
Blog	Blog
Blood	Krv
Blood plasma	Krvna plazma
Blood pressure	Krvni tlak
Blood vessel	Krvne žile
Blue	Plava
Blue Whale	Plavi kit
Blues	Blues
Boar	Divlja svinja
Board game	Igre na ploči
Boat	Čamac
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bobby Fischer	Robert Fischer
Bobsleigh	Bob
Body mass index	Indeks tjelesne mase
Bodybuilding	Body building
Bohemia	Češka (povijesna pokrajina)
Bohrium	Bohrij
Boiling point	Vrelište
Bolivia	Bolivija
Bolivia	Kategorija:Bolivija
Bologna	Bologna
Bolshevik	Boljševizam
Bolzano	Bozen
Bomb	Bomba
Bomber	Bombarder
Bond (finance)	Obveznica
Bone	Kosti
Bone marrow	Koštana srž
Bonn	Bonn
Bonsai	Bonsai
Book	Knjiga
Book of Joshua	Jošua (knjiga)
Book of Judges	Knjiga o Sucima
Book of Numbers	Knjiga Brojeva
Book of Revelation	Otkrivenje
Book of Ruth	Ruta (knjiga)
Boolean algebra (structure)	Booleova algebra
Boomerang	Bumerang
Bordeaux	Bordeaux
Boris Godunov	Boris Godunov
Boris Pasternak	Boris Pasternak
Borneo	Borneo
Boron	Bor (element)
Bosnia and Herzegovina	Bosna i Hercegovina
Bosnia and Herzegovina	Kategorija:Bosna i Hercegovina
Boson	Bozoni
Bosporus	Bospor
Boston	Boston, Massachusetts
Boston Tea Party	Bostonska čajanka
Botanical garden	Botanički vrt
Botany	Botanika
Botany	Kategorija:Botanika
Botswana	Bocvana
Botswana	Kategorija:Bocvana
Bottle	Boca
Bottlenose Dolphin	Dobri dupin
Bourgogne	Burgundija
Bouvet Island	Otok Bouvet
Bovid	Šupljorošci
Bow (weapon)	Luk (oružje)
Bowling	Kuglanje
Boxers	Kategorija:Boksači
Boxing	Boks
Boxing	Kategorija:Boks
Boyle's law	Boyle-Mariotteov zakon
Bracket	Zagrade
Brahma	Brahma
Braille	Brailleovo pismo
Brain	Ljudski mozak
Bram Stoker	Bram Stoker
Brandenburg	Brandenburg
Brass	Mjed
Bratislava	Bratislava
Brazil	Brazil
Brazil	Kategorija:Brazil
Brazzaville	Brazzaville
Bread	Kruh
Breast	Dojka
Breast cancer	Rak dojke
Bremen	Bremen
Bremen (state)	Bremen (pokrajina)
Bretagne	Bretanja
Bridge	Most
Bridges	Kategorija:Mostovi
Bridgetown	Bridgetown
Brigade	Brigada
British Columbia	Britanska Kolumbija
British Empire	Britansko Carstvo
British Isles	Britanski otoci
British Virgin Islands	Britanski Djevičanski otoci
British people	Kategorija:Biografije, Ujedinjeno Kraljevstvo
Brno	Brno
Bromine	Brom
Bronze	Bronca
Bronze Age	Brončano doba
Brooklyn	Brooklyn
Brown Bear	Mrki medvjed
Brownian motion	Brownovo gibanje
Bruce Lee	Bruce Lee
Bruges	Bruges
Brunei	Brunej
Brunei	Kategorija:Brunej
Brussels	Bruxelles
Bubonic plague	Kuga
Bucharest	Bukurešt
Buckingham Palace	Buckinghamska palača
Buckminster Fuller	Buckminster Fuller
Buckwheat	Heljda
Budapest	Budimpešta
Buddha	Buda
Buddhism	Budizam
Buddhism	Kategorija:Budizam
Buddy Holly	Buddy Holly
Buenos Aires	Buenos Aires
Bujumbura	Bujumbura
Bulgaria	Bugarska
Bulgaria	Kategorija:Bugarska
Bumblebee	Bumbari
Buoyancy	Arhimedov zakon
Burkina Faso	Burkina Faso
Burkina Faso	Kategorija:Burkina Faso
Burma	Mjanma
Burma	Kategorija:Mianmar
Burundi	Kategorija:Burundi
Bus	Autobus
Bus (computing)	Sabirnica
Buster Keaton	Buster Keaton
Butane	Butan (alkan)
Bydgoszcz	Bydgoszcz
Byte	Bajt
Byzantine Empire	Kategorija:Bizant
C	C
C (programming language)	C (programski jezik)
C. S. Lewis	C. S. Lewis
CHAOS (Linux distribution)	CHAOS
COBOL	COBOL
Cacao	Kakaovac
Cache	Priručna memorija
Cactus	Kaktusi
Cadmium	Kadmij
Caelum	Dlijeto (zviježđe)
Caesium	Cezij
Caffeine	Kofein
Cairo	Kairo
Cake	Kolač
Calabria	Kalabrija
Calais	Calais
Calcite	Kalcit
Calcium	Kalcij
Calculator	Kalkulator
Calendar	Kalendar
Caliber	Kalibar
California	Kalifornija
California	Kategorija:Kalifornija
Californium	Kalifornij
Caligula	Kaligula
Caliph	Kalif
Caliphate	Kalifat
Calliope	Kaliopa
Callisto (moon)	Kalista (mjesec)
Callisto (mythology)	Kalisto (mitologija)
Calorie	Kalorija
Calvin Coolidge	Calvin Coolidge
Calypso (mythology)	Kalipso
Cambodia	Kambodža
Cambodia	Kategorija:Kambodža
Cambridge	Cambridge
Camel	Deve starog svijeta
Cameroon	Kamerun
Cameroon	Kategorija:Kamerun
Campania	Kampanija
Canada	Kanada
Canada	Kategorija:Kanada
Canadian dollar	Kanadski dolar
Canary Islands	Kanari
Canberra	Canberra
Cancer	Rak (bolest)
Cancer (constellation)	Rak (zviježđe)
Candela	Kandela
Candle	Svijeća
Canidae	Psi
Canis Major	Veliki pas
Canis Minor	Mali pas
Cannabis	Konoplja
Cannabis (drug)	Marihuana
Cannes	Cannes
Cannon	Top
Canon (company)	Canon
Canopus	Canopus
Cantata	Kantata
Canute the Great	Knut Veliki
Capacitance	Električni kapacitet
Capacitor	Električni kondenzator
Cape Canaveral	Cape Canaveral
Cape Town	Kaapstad
Cape Verde	Zelenortska Republika
Cape Verde	Kategorija:Zelenortska Republika
Cape of Good Hope	Rt dobre nade
Capital	Glavni grad
Capital (economics)	Kapital
Capital punishment	Smrtna kazna
Capitalism	Kapitalizam
Capricornus	Jarac (zviježđe)
Capsicum	Paprika
Caracas	Caracas
Carat (mass)	Karat
Carat (purity)	Karat
Caravaggio	Caravaggio
Carbohydrate	Ugljikohidrati
Carbon	Ugljik
Carbon dioxide	Ugljikov dioksid
Carbon monoxide	Ugljikov monoksid
Carboxylic acid	Karboksilne kiseline
Cardiff	Cardiff
Cardinal (Catholicism)	Kardinal
Cardinal Richelieu	Armand Jean du Plessis, kardinal Richelieu
Cardiology	Kardiologija
Caribbean Sea	Karipsko more
Caricature	Karikatura
Carina (constellation)	Kobilica (zviježđe)
Carl Jung	Carl Gustav Jung
Carl Lewis	Carl Lewis
Carl Maria von Weber	Carl Maria von Weber
Carnival	Poklade
Carnivora	Zvijeri
Carnivore	Mesožderi
Carnivorous plant	Biljke mesožderke
Carolus Linnaeus	Carl Linné
Carrot	Mrkva
Carthage	Kartaga
Cartography	Kartografija
Cartography	Kategorija:Kartografija
Cary Grant	Cary Grant
Caryophyllales	Caryophyllales
Caspian Sea	Kaspijsko jezero
Cassandra	Kasandra
Cassiopeia (constellation)	Kasiopeja (zviježđe)
Caste	Kaste
Castile (historical region)	Kastilja
Castling	Rokada
Castries	Castries
Cat	Domaća mačka
Catalonia	Katalonija
Catalysis	Katalizator
Cataract	Katarakta
Cathedral	Katedrala
Catherine Parr	Katarina Parr
Catherine of Aragon	Katarina Aragonska
Cathode	Katoda
Catholicism	Katoličanstvo
Cattle	Domaće govedo
Catullus	Katul
