English	Serbian
Botany	Категорија:Ботаника
Botswana	Боцвана
Botswana	Категорија:Боцвана
Bottlenose Dolphin	Кљунасти делфин
Bourgogne	Бургоња
Bouvet Island	Буве (острво)
Bow (weapon)	Ратни лук (оружје)
Boxers	Категорија:Боксери
Boxing	Бокс
Boxing	Категорија:Бокс
Boyle's law	Бојл-Мариотов закон
Braga	Брага
Brahma	Брахма
Braille	Брајева азбука
Brain	Мозак
Brainstorming	Мозгалице
Bram Stoker	Абрахам Стокер
Brandenburg	Бранденбург
Brandy	Вињак
Brass	Месинг
Bratislava	Братислава
Braunschweig	Брауншвајг
Brazil	Бразил
Brazil	Категорија:Бразил
Brazzaville	Бразавил
Bread	Хлеб
Bremen	Бремен
Bremen (state)	Бремен (покрајина)
Bremerhaven	Бремерхафен
Brescia	Бреша
Brest	Брест (град)
Brest	Брест (вишезначна одредница)
Bretagne	Бретања
Brick	Опека
Bridge	Мост
Bridges	Категорија:Мостови
Bridgetown	Бриџтаун
Brighton	Брајтон
Brindisi	Бриндизи
Brisbane	Бризбејн
Bristol	Бристол
British Columbia	Британска Колумбија
British Empire	Британска империја
British Isles	Британска острва
British Virgin Islands	Британска Девичанска острва
Brno	Брно
Broadway (New York City)	Бродвеј
Broccoli	Броколи
Bromine	Бром
Bronze	Бронза
Bronze Age	Бронзано доба
Brooklyn	Бруклин
Brooklyn Bridge	Бруклински мост
Brown Bear	Мрки медвед
Brownian motion	Брауново кретање
Bruce Lee	Брус Ли
Bruges	Бриж
Brunei	Брунеј
Brunei	Категорија:Брунеј
Brussels	Брисел
Bubonic plague	Куга
Bucharest	Букурешт
Buckingham Palace	Бакингемска палата
Buckminster Fuller	Бакминстер Фулер
Budapest	Будимпешта
Buddha	Буда
Buddhism	Будизам
Buddhism	Категорија:Будизам
Buddy Holly	Бади Холи
Buenos Aires	Буенос Ајрес
Buffalo	Бафало (Њујорк)
Building	Грађевина
Bujumbura	Буџумбура
Bulgaria	Бугарска
Bulgaria	Категорија:Бугарска
Bumblebee	Бумбар
Buoyancy	Архимедов закон
Bureaucracy	Бирократија
Burkina Faso	Буркина Фасо
Burkina Faso	Категорија:Буркина Фасо
Burma	Мјанмар
Burma	Категорија:Мијанмар
Bursa	Бурса
Burundi	Категорија:Бурунди
Bus	Аутобус
Bus (computing)	Магистрала (рачунарство)
Buster Keaton	Бастер Китон
Butane	Бутан (једињење)
Butterfly	Лептир
Bydgoszcz	Бидгошч
Byte	Бајт
Byzantine Empire	Категорија:Византијско царство
C	C (слово латинице)
C (programming language)	C (програмски језик)
Cacao	Какаовац
Cactus	Кактус
Cadmium	Кадмијум
Cadmus	Кадмо
Caesium	Цезијум
Caffeine	Кофеин
Cairo	Каиро
Calabria	Калабрија
