Icelandic	English
Áróður	Propaganda
Óbundið mál	Prose
Prótín	Protein
Siðaskiptin	Protestant Reformation
Mótmælendatrú	Protestantism
Frumvera	Protist
Róteind	Proton
Prússland	Prussia
Dulnefni	Pseudonym
Hjáfræði	Pseudoscience
Psí	Psi (letter)
Sálgreining	Psychoanalysis
Sálfræði	Psychology
Flokkur:Sálfræði	Psychology
Ptolemajaríkið	Ptolemaic dynasty
Púertó Ríkó	Puerto Rico
Flokkur:Púertó Ríkó	Puerto Rico
Talía	Pulley
Greinarmerki	Punctuation
Pjongjang	Pyongyang
Pýramídi	Pyramid
Pýreneafjöll	Pyrenees
Pyrrosarsigur	Pyrrhic victory
Pýþagóras	Pythagoras
Python (forritunarmál)	Python (programming language)
Q	Q
Katar	Qatar
Flokkur:Katar	Qatar
Kingveldið	Qing Dynasty
Annars stigs jafna	Quadratic equation
Skammtafræði	Quantum mechanics
Kvarki	Quark
Fertölur	Quaternion
Québec	Quebec
Quechua	Quechua
Queens	Queens
Queensland	Queensland
Spurningarmerki	Question mark
Quito	Quito
R	R
Ríbósakjarnsýra	RNA
Ra	Ra
Rabat	Rabat
Rachel Carson	Rachel Carson
Kynþáttahyggja	Racism
Flokkur:Útvarp	Radio
Geislavirkni	Radioactive decay
C-14 aldursgreining	Radiocarbon dating
Radín	Radium
Geisli (rúmfræði)	Radius
Radon	Radon
Rigning	Rain
Regnbogi	Rainbow
Rainer Maria Rilke	Rainer Maria Rilke
Ramadan	Ramadan
Ramayana	Ramayana
RAM	Random access memory
Nauðgun	Rape
Repja	Rapeseed
Raffaello Sanzio	Raphael
Ræðar tölur	Rational number
Strútar	Ratite
Ravenna	Ravenna
Lesminni	Read-only memory
Rauntala	Real number
Recife	Recife
Rétthyrningur	Rectangle
Endurkvæmt fall	Recursion
Endurvinnsla	Recycling
Rauður	Red
Rauðrefur	Red Fox
Rauð panda	Red Panda
Rauðahaf	Red Sea
Rauð blóðkorn	Red blood cell
Þjóðaratkvæðagreiðsla	Referendum
Flóttamaður	Refugee
Reggí	Reggae
Hreindýr	Reindeer
Afstæðishyggja	Relativism
Trúarbrögð	Religion
Flokkur:Trúarbrögð	Religion
Rembrandt	Rembrandt
Endurreisnin	Renaissance
Æxlun	Reproduction
Skriðdýr	Reptile
Lýðveldi	Republic
Lýðveldið Kína	Republic of China
Írska lýðveldið	Republic of Ireland
Flokkur:Írland	Republic of Ireland
Vestur-Kongó	Republic of the Congo
Flokkur:Vestur-Kongó	Republic of the Congo
Repúblikanaflokkurinn	Republican Party (United States)
Öndunarfæri	Respiratory system
Veitingahús	Restaurant
A-vítamín	Retinol
Sexhleypa	Revolver
Renín	Rhenium
Mælskufræði	Rhetoric
Flokkur:Mælskufræði	Rhetoric
Rín (fljót)	Rhine
Nashyrningur	Rhinoceros
Hró	Rho (letter)
Rhode Island	Rhode Island
Flokkur:Rhode Island	Rhode Island
Ródos	Rhodes
Ródín	Rhodium
Rím	Rhyme
Taktur	Rhythm
Ryþmablús	Rhythm and blues
Hrísgrjón	Rice
Richard Feynman	Richard Feynman
Richard Nixon	Richard Nixon
Richard Wagner	Richard Wagner
Ríga	Riga
Rio de Janeiro	Rio de Janeiro
Á (landform)	River
Thames	River Thames
Ríad	Riyadh
Vegur	Road
Roald Amundsen	Roald Amundsen
Robert Falcon Scott	Robert Falcon Scott
Robert Hooke	Robert Hooke
Robert Louis Stevenson	Robert Louis Stevenson
Robert Oppenheimer	Robert Oppenheimer
Robert Schumann	Robert Schumann
Hrói höttur	Robin Hood
Steinn, skæri, blað	Rock
Berg	Rock (geology)
Rokktónlist	Rock and roll
Rokk	Rock music
Flokkur:Rokk	Rock music
Klettafjöll	Rocky Mountains
Nagdýr	Rodent
Rómversk-kaþólska kirkjan	Roman Catholic Church
Rómverska keisaradæmið	Roman Empire
Rómarréttur	Roman law
Rómversk goðafræði	Roman mythology
Flokkur:Rómversk goðafræði	Roman mythology
Rúmenía	Romania
Flokkur:Rúmenía	Romania
Rómantíkin	Romanticism
Róm	Rome
Flokkur:Róm	Rome
Ronald Reagan	Ronald Reagan
Bláhrafn	Rook (bird)
Rosa Parks	Rosa Parks
Rósaætt	Rosaceae
Rósabálkur	Rosales
Rós	Rose
Rotterdam	Rotterdam
Rúbidín	Rubidium
Rudolf Hess	Rudolf Hess
Rudyard Kipling	Rudyard Kipling
Ruðningur	Rugby football
Rússland	Russia
Flokkur:Rússland	Russia
Rússneska byltingin 1917	Russian Revolution (1917)
Rúþen	Ruthenium
Rutherford B. Hayes	Rutherford B. Hayes
Rutherfordín	Rutherfordium
Rúanda	Rwanda
Flokkur:Rúanda	Rwanda
Rúgur	Rye
S	S
SOAP	SOAP
Sacramento	Sacramento
Saddam Hussein	Saddam Hussein
Sahara	Sahara
Dýrlingur	Saint
Sankti Kristófer og Nevis	Saint Kitts and Nevis
Sankti Lúsía	Saint Lucia
Pétur postuli	Saint Peter
Sankti Pétursborg	Saint Petersburg
Sankti Vinsent og Grenadíneyjar	Saint Vincent and the Grenadines
Saladín	Saladin
Munnvatn	Saliva
Salman Rushdie	Salman Rushdie
Laxfiskaætt	Salmonidae
Salt	Salt
Sölt	Salt (chemistry)
Salzburg	Salzburg
Salzburg (fylki)	Salzburg (state)
Samara	Samara
Samarkand	Samarkand
Samóa	Samoa
Samuel Beckett	Samuel Beckett
Bushi	Samurai
San Antonio	San Antonio
San Diego	San Diego
San Francisco	San Francisco
San Jose	San Jose
San Marínó	San Marino
Flokkur:San Marínó	San Marino
Sandur	Sand
Sandro Botticelli	Sandro Botticelli
Sandsteinn	Sandstone
Samloka	Sandwich
Sanskrít	Sanskrit
Jólasveinn	Santa Claus
Santíagó	Santiago
Santiago de Cuba	Santiago de Cuba
Santó Dómingó	Santo Domingo
Santos	Santos (Săo Paulo)
Saffó	Sappho
Sarah Bernhardt	Sarah Bernhardt
Sarajevó	Sarajevo
Sardinía	Sardinia
Laugardagur	Saturday
Satúrnus (reikistjarna)	Saturn
Satúrnus	Saturn (disambiguation)
Satúrnus (guð)	Saturn (mythology)
Satýr	Satyr
Sádí-Arabía	Saudi Arabia
Flokkur:Sádí-Arabía	Saudi Arabia
Skandinavía	Scandinavia
Skandinavíuskaginn	Scandinavian Peninsula
Skandín	Scandium
Geðklofi	Schizophrenia
Skólaspeki	Scholasticism
Skóli	School
SS-sveitirnar	Schutzstaffel
Vísindi	Science
Flokkur:Vísindi	Science
Scipio Africanus	Scipio Africanus
Skotland	Scotland
Flokkur:Skotland	Scotland
Skógarfura	Scots Pine
Skátahreyfingin	Scouting
Skrúfa	Screw
Pungur	Scrotum
Höggmyndalist	Sculpture
Sjór	Sea
Sæotur	Sea Otter
Sjávarmál	Sea level
Marmarahaf	Sea of Marmara
Ígulker	Sea urchin
Seborgín	Seaborgium
Árstíð	Season
Seattle	Seattle
Sekúnda	Second
Sértrúarsöfnuður	Sect
Setberg	Sedimentary rock
Segóvía	Segovia
Jarðskjálftafræði	Seismology
Flokkur:Jarðskjálftafræði	Seismology
Selena	Selene
Selen	Selenium
Merkingarfræði	Semantics
Flokkur:Merkingarfræði	Semantics
Hálfleiðari	Semiconductor
Táknfræði	Semiotics
Senegal	Senegal
Seúl	Seoul
Seppuku	Seppuku
September	September
11. september	September 11
Hryðjuverkin 11. september 2001	September 11
17. september	September 17
29. september	September 29
Runa	Sequence
Serbía	Serbia
Flokkur:Serbía	Serbia
Serbía og Svartfjallaland	Serbia and Montenegro
Sergei Eisenstein	Sergei Eisenstein
Sergei Rachmaninoff	Sergei Rachmaninoff
Röð (stærðfræði)	Series (mathematics)
Mengi	Set
Mengjafræði	Set theory
Flokkur:Mengjafræði	Set theory
Sevilla	Seville
Kynlíf	Sex
Kynjamismunun	Sexism
Sextant	Sextant
Kynsjúkdómur	Sexually transmitted disease
Seychelles-eyjar	Seychelles
Trúarjátning múslima	Shahadah
Sjanghæ	Shanghai
Háfiskar	Shark
Sheffield	Sheffield
Hjaltlandseyjar	Shetland
Sjintóismi	Shinto
Skip	Ship
Síva	Shiva
Shōgi	Shogi
Síbería	Siberia
Síberískur husky	Siberian Husky
Sikiley	Sicily
Símens	Siemens (unit)
Síerra Leóne	Sierra Leone
Sigma	Sigma
Sigmund Freud	Sigmund Freud
Síkismi	Sikhism
Kísill	Silicon
Silicon Valley	Silicon Valley
Silki	Silk
Sílúrtímabilið	Silurian
Silfur	Silver
Simone de Beauvoir	Simone de Beauvoir
Sínaískagi	Sinai Peninsula
Sinclair Lewis	Sinclair Lewis
Singapúr	Singapore
Flokkur:Singapúr	Singapore
Smáskífa	Single (music)
Sitjandi Naut	Sitting Bull
Skagerrak	Skagerrak
Flokkur:Beinagrind	Skeletal system
Efahyggja	Skepticism
Húð	Skin
Skopje	Skopje
Höfuðkúpa	Skull
Skýjakljúfur	Skyscraper
Þrælahald	Slavery
Svefn	Sleep
Slóvakía	Slovakia
Flokkur:Slóvakía	Slovakia
Slóvenía	Slovenia
Flokkur:Slóvenía	Slovenia
Mjógirni	Small intestine
Smolensk	Smolensk
Slöngur	Snake
Snjór	Snow
Sápa	Soap
Félagssálfræði	Social psychology
Jafnaðarstefna	Socialism
Flokkur:Jafnaðarstefna	Socialism
Þjóðfélag	Society
Félagsfræði	Sociology
Flokkur:Félagsfræði	Sociology
Sókrates	Socrates
Natrín	Sodium
Borðsalt	Sodium chloride
Sófía	Sofia
Flokkur:Hugbúnaður	Software
Jarðvegur	Soil
Náttskuggaætt	Solanaceae
Flokkur:Náttskuggaætt	Solanaceae
Sólkerfið	Solar System
Flokkur:Sólkerfið	Solar System
Sólarorka	Solar energy
Storkuhamur	Solid
Storkuhamur	Solid state
Samstaða	Solidarity
Salómonseyjar	Solomon Islands
Sólon	Solon
Sómalía	Somalia
Flokkur:Sómalía	Somalia
Somerset	Somerset
Lag	Song
Sonnetta	Sonnet
Sófókles	Sophocles
Dúrra	Sorghum
Röðunarreiknirit	Sorting algorithm
Sál	Soul
Hljóð	Sound
Súpa	Soup
Suður	South
Flokkur:Suður-Afríka	South Africa
Suður-Ameríka	South America
Suður-Ástralía	South Australia
Suður-Karólína	South Carolina
Suður-Kínahaf	South China Sea
Suður-Dakóta	South Dakota
Suður-Kórea	South Korea
Flokkur:Suður-Kórea	South Korea
Suðurheimskautið	South Pole
Suðaustur-Asía	Southeast Asia
Suðurhvel	Southern Hemisphere
Fullveldi	Sovereignty
Sovétríkin	Soviet Union
Sojabaun	Soybean
Spánn	Spain
Flokkur:Spánn	Spain
Spænska borgarastyrjöldin	Spanish Civil War
Flokkur:Spánverjar	Spanish people
Sparta	Sparta
Spjót	Spear
Takmarkaða afstæðiskenningin	Special relativity
Tegund (líffræði)	Species
Hraði	Speed
Ljóshraði	Speed of light
Krydd	Spice
Könguló	Spider
Spínat	Spinach
Mæna	Spinal cord
Milta	Spleen
Svampdýr	Sponge
Íþrótt	Sport
Vor	Spring (season)
Hreisturdýr	Squamata
Ferningur	Square (geometry)
Fermetri	Square metre
Ferningsrót	Square root
Srí Lanka	Sri Lanka
Flokkur:Srí Lanka	Sri Lanka
Ryðfrítt stál	Stainless steel
Stalínismi	Stalinism
Stanford-háskóli	Stanford University
Stanley Kubrick	Stanley Kubrick
Sólstjarna	Star
Sterkja	Starch
Krossfiskar	Starfish
Ríki	State
Staten Island	Staten Island
Safneðlisfræði	Statistical mechanics
Tölfræði	Statistics
Flokkur:Tölfræði	Statistics
Frelsisstyttan	Statue of Liberty
Stafangur	Stavanger
Gufuvél	Steam engine
Stál	Steel
Stefan Zweig	Stefan Zweig
Steven Spielberg	Steven Spielberg
Hlutabréfamarkaður	Stock exchange
Stokkhólmur	Stockholm
Stóuspeki	Stoicism
Magi	Stomach
Steinöld	Stone Age
Stonehenge	Stonehenge
Stormur	Storm
Sund	Strait
Gíbraltarsund	Strait of Gibraltar
Hormússund	Strait of Hormuz
Messínasund	Strait of Messina
Flokkur:Sund (landform)	Straits
Strassborg	Strasbourg
Jarðlagafræði	Stratigraphy
Heilablóðfall	Stroke
Strontín	Strontium
Snið:Stubbur	Stub
Nemandi	Student
Stúpa	Stupa
Stuttgart	Stuttgart
Styx (fljót)	Styx
Afríka sunnan Sahara	Sub-Saharan Africa
Kafbátur	Submarine
Hlutmengi	Subset
Frádráttur	Subtraction
Súkre	Sucre
Súkrósi	Sucrose
Súdan	Sudan
Súesskurðurinn	Suez Canal
Viðskeyti	Suffix
Súfismi	Sufism
Matarsykur	Sugar
Brennisteinn	Sulfur
Brennisteinssýra	Sulfuric acid
Súmer	Sumer
Sumar	Summer
Sólin	Sun
Sunnudagur	Sunday
Súnní	Sunni Islam
Súrínam	Suriname
Surrey	Surrey
Svalbarði	Svalbard
Svasíland	Swaziland
Svíþjóð	Sweden
Flokkur:Svíþjóð	Sweden
Sætar kartöflur	Sweet potato
Sund (hreyfing)	Swimming
Flokkur:Sund (hreyfing)	Swimming
Flokkur:Svisslendingar	Swiss people
Sviss	Switzerland
Flokkur:Sviss	Switzerland
Sverð	Sword
Sydney	Sydney
Sylvia Plath	Sylvia Plath
Samlífi	Symbiosis
Sinfónía	Symphony
Sýnagóga	Synagogue
Samskynjun	Synesthesia
Samheiti	Synonym
Setningafræði	Syntax
Sárasótt	Syphilis
Sýrland	Syria
Flokkur:Sýrland	Syria
T	T
T. S. Eliot	T. S. Eliot
Tacítus	Tacitus
Taekwondo	Taekwondo
Tagus	Tagus
Taípei	Taipei
Tævan	Taiwan
Taj Mahal	Taj Mahal
Tadsjikistan	Tajikistan
Flokkur:Tadsjikistan	Tajikistan
Talíbanar	Taliban
Tallinn	Tallinn
Talmúd	Talmud
Tampere	Tampere
Tanakh	Tanakh
Tangveldið	Tang Dynasty
Skriðdreki	Tank
Tantal	Tantalum
Tansanía	Tanzania
Flokkur:Tansanía	Tanzania
Taóismi	Taoism
Taskent	Tashkent
Tasmanía	Tasmania
Tasmaníuskolli	Tasmanian Devil
Tá (bókstafur)	Tau
Skattur	Tax
Flokkur:Sköttun	Taxation
Ýviður	Taxus baccata
Tíblisi	Tbilisi
Te	Tea
Flokkur:Te	Tea
Teknetín	Technetium
Tækni	Technology
Tegucigalpa	Tegucigalpa
Teheran	Tehran
Tel Avív	Tel Aviv
Fjarskipti	Telecommunication
Ritsími	Telegraphy
Sími	Telephone
Sjónvarp	Television
Flokkur:Sjónvarp	Television
Tellúr	Tellurium
Hiti	Temperature
Boðorðin tíu	Ten Commandments
Tenerífe	Tenerife
Tennessee	Tennessee
Flokkur:Tennessee	Tennessee
Tennis	Tennis
Tenór	Tenor
Tenzing Norgay	Tenzing Norgay
Hryðjuverk	Terrorism
Flokkur:Hryðjuverk	Terrorism
Tesla	Tesla (unit)
Eista	Testicle
Ferfætlingar	Tetrapod
Texas	Texas
Flokkur:Texas	Texas
Taíland	Thailand
Flokkur:Taíland	Thailand
Þales	Thales
Þallín	Thallium
Gambía	The Gambia
Flokkur:Gambía	The Gambia
Haag	The Hague
The Star-Spangled Banner	The Star-Spangled Banner
Leiklist	Theatre
Þemistókles	Themistocles
Guðveldi	Theocracy
Theodor Mommsen	Theodor Mommsen
Theodore Roosevelt	Theodore Roosevelt
Guðfræði	Theology
Flokkur:Guðfræði	Theology
Setning (stærðfræði)	Theorem
Kenning	Theory
Afstæðiskenningin	Theory of relativity
Varmafræði	Thermodynamics
Flokkur:Varmafræði	Thermodynamics
Þeseifur	Theseus
Þessaloniki	Thessaloniki
Þessalía	Thessaly
Þeta	Theta
B1-vítamín	Thiamine
Þrjátíu ára stríðið	Thirty Years' War
Tómas af Aquino	Thomas Aquinas
Thomas Alva Edison	Thomas Edison
Thomas Hardy	Thomas Hardy
Thomas Hobbes	Thomas Hobbes
Thomas Jefferson	Thomas Jefferson
Thomas Mann	Thomas Mann
Thomas Paine	Thomas Paine
Þór (norræn goðafræði)	Thor
Hugsun	Thought
Þrakía	Thrace
Þúkýdídes	Thucydides
Túlín	Thulium
Fimmtudagur	Thursday
Tíberíus	Tiberius
Sjávarföll	Tide
Tígris	Tigris
Timbúktú	Timbuktu
Tími	Time
Flokkur:Tími	Time
Tímabelti	Time zone
Tímúr	Timur
Tin	Tin
Tírana	Tirana
Vefur	Tissue (biology)
Titanic (aðgreining)	Titanic (disambiguation)
Títan	Titanium
Títus	Titus
Tívolí (Ítalíu)	Tivoli
Tóbak	Tobacco
Tófú	Tofu
Tógó	Togo
Flokkur:Tógó	Togo
Tókýó	Tokyo
Tom Hanks	Tom Hanks
Tómatur	Tomato
Tonga	Tonga
Flokkur:Tonga	Tonga
Toni Morrison	Toni Morrison
Tony Blair	Tony Blair
Verkfæri	Tool
Tönn	Tooth
Grannfræði	Topology
Flokkur:Grannfræði	Topology
Torah	Torah
Hvirfilbylur	Tornado
Torontó	Toronto
Alræði	Totalitarianism
Toulouse	Toulouse
Ferðaþjónusta	Tourism
Flokkur:Ferðamennska	Tourism
Turn	Tower
Bær	Town
Leikfang	Toy
Toyota	Toyota
Stéttarfélag	Trade union
Vörumerki	Trademark
Járnbrautarlest	Train
Trajanus	Trajan
Spennubreytir	Transformer
Smári (rafeindafræði)	Transistor
TCP	Transmission Control Protocol
Flokkur:Samgöngur	Transportation
Transylvanía	Transylvania
Þjóðréttarsamningur	Treaty
Versalasamningurinn	Treaty of Versailles
Tré	Tree
Trenton (New Jersey)	Trenton
Þríhyrningur	Triangle
Trías	Triassic
Þverá	Tributary
Hornafall	Trigonometric function
Hornafall	Trigonometry
Trínidad og Tóbagó	Trinidad and Tobago
Flokkur:Trínidad og Tóbagó	Trinidad and Tobago
Heilög þrenning	Trinity
Trípólí	Tripoli
Trójuhestur	Trojan Horse
Trójustríðið	Trojan War
Þrándheimur	Trondheim
Trotskíismi	Trotskyism
Trója	Troy
Vörubíll	Truck
Trompet	Trumpet
Sannleikur	Truth
Flóðbylgja	Tsunami
Jarðsveppur	Tuber (genus)
Berklar	Tuberculosis
Þriðjudagur	Tuesday
Freðmýri	Tundra
Volfram	Tungsten
Túnis (borg)	Tunis
Túnis	Tunisia
Flokkur:Túnis	Tunisia
Jarðgöng	Tunnel
Tórínó	Turin
Tyrkland	Turkey
Flokkur:Tyrkland	Turkey
Túrkmenistan	Turkmenistan
Flokkur:Túrkmenistan	Turkmenistan
Skjaldbökur	Turtle
Toskana	Tuscany
Túvalúeyjar	Tuvalu
Flokkur:Túvalúeyjar	Tuvalu
Tycho Brahe	Tycho Brahe
Týpógrafía	Typography
Flokkur:Týpógrafía	Typography
Grameðla	Tyrannosaurus
Týros	Tyre
Tirol	Tyrol (state)
Tyrrenahaf	Tyrrhenian Sea
U	U
Mennta-, vísinda- og menningarstofnun Sameinuðu þjóðanna	UNESCO
Ufa	Ufa
Úganda	Uganda
Flokkur:Úganda	Uganda
Úkraína	Ukraine
Flokkur:Úkraína	Ukraine
Úlan Bator	Ulan Bator
Útfjólublátt ljós	Ultraviolet
Ulysses S. Grant	Ulysses S. Grant
Regnhlíf	Umbrella
Úmbría	Umbria
Einhyrningur (dýr)	Unicorn
Fljúgandi furðuhlutur	Unidentified flying object
Veffang	Uniform Resource Locator
Sammengi	Union (set theory)
Sameinuðu arabísku furstadæmin	United Arab Emirates
Flokkur:Sameinuðu arabísku furstadæmin	United Arab Emirates
Bretland	United Kingdom
Flokkur:Bretland	United Kingdom
Sameinuðu þjóðirnar	United Nations
Flokkur:Sameinuðu þjóðirnar	United Nations
Barnahjálp Sameinuðu þjóðanna	United Nations Children's Fund
Bandaríkin	United States
Flokkur:Bandaríkin	United States
Bandaríkjaþing	United States Congress
Stjórnarskrá Bandaríkjanna	United States Constitution
Öldungadeild Bandaríkjaþings	United States Senate
Bandarísku Jómfrúaeyjar	United States Virgin Islands
Bandaríkjadalur	United States dollar
Alheimurinn	Universe
Háskóli	University
Chicago-háskóli	University of Chicago
Pennsylvaníuháskóli	University of Pennsylvania
Unix	Unix
Flokkur:Unix	Unix
Upanishad	Upanishad
Uppsalir	Uppsala
Upsílon	Upsilon
Úralfjöll	Ural Mountains
Úran	Uranium
Úranus (reikistjarna)	Uranus
Þvagefni	Urea
Úrúgvæ	Uruguay
Flokkur:Úrúgvæ	Uruguay
Utah	Utah
Flokkur:Utah	Utah
Nytjastefna	Utilitarianism
Úsbekistan	Uzbekistan
Flokkur:Úsbekistan	Uzbekistan
V	V
Lofttæmi	Vacuum
Vaduz	Vaduz
Leggöng	Vagina
Eingildi	Valence (chemistry)
Valletta	Valletta
Vampíra	Vampire
Vanadín	Vanadium
Vanir	Vanir
Vanúatú	Vanuatu
Flokkur:Vanúatú	Vanuatu
Varna	Varna
Vatíkanið	Vatican City
Flokkur:Vatíkanið	Vatican City
Vigur (stærðfræði)	Vector (spatial)
Grænmeti	Vegetable
Grænmetishyggja	Vegetarianism
Bláæð	Vein
Snareðla	Velociraptor
Hraði	Velocity
Venetó	Veneto
Venesúela	Venezuela
Flokkur:Venesúela	Venezuela
Feneyjar	Venice
Venus (reikistjarna)	Venus
Venus	Venus (disambiguation)
Sagnorð	Verb
Vermont	Vermont
Versalir	Versailles
Hryggsúla	Vertebral column
Hryggdýr	Vertebrate
Vespasíanus	Vespasian
Varaforseti Bandaríkjanna	Vice President of the United States
Victor Hugo	Victor Hugo
Victoria	Victoria (Australia)
Viktoríufossar	Victoria Falls
Myndband	Video
Tölvuleikur	Video game
Vín (Austurríki)	Vienna
Vientiane	Vientiane
Víetnam	Vietnam
Flokkur:Víetnam	Vietnam
Víetnamstríðið	Vietnam War
Flokkur:Víetnamstríðið	Vietnam War
Víkingar	Viking
Vilníus	Vilnius
Vincent van Gogh	Vincent van Gogh
Víóla	Viola
Fiðla	Violin
Virgill	Virgil
Jómfrúaeyjar	Virgin Islands
Virginía (fylki)	Virginia
Flokkur:Virginía	Virginia
Virginia Woolf	Virginia Woolf
Dygð	Virtue
Veira	Virus
Seigja	Viscosity
Visnjú	Vishnu
Visla	Vistula
Vítamín	Vitamin
A-vítamín	Vitamin A
K-vítamín	Vitamin K
Vitus Bering	Vitus Bering
Vladímír Lenín	Vladimir Lenin
Vladimir Nabokov	Vladimir Nabokov
Vladímír Pútín	Vladimir Putin
Vladivostok	Vladivostok
Ávarpsfall	Vocative case
Vodka	Vodka
Eldstöð	Volcano
Flokkur:Eldfjallafræði	Volcanology
Volga	Volga River
Blak	Volleyball
Volt	Volt
Rafspenna	Voltage
Voltaire	Voltaire
Uppköst	Vomiting
Vulcanus	Vulcan (mythology)
W	W
WYSIWYG	WYSIWYG
Varsímaeyja	Wake Island
Wales	Wales
Flokkur:Wales	Wales
Rostungur	Walrus
Walt Disney	Walt Disney
Walt Whitman	Walt Whitman
Walter Gropius	Walter Gropius
Stríð	War
Varsjá	Warsaw
Varta	Wart
Washington (borg)	Washington
Washington (fylki)	Washington
Flokkur:Washingtonfylki	Washington
Washington	Washington (disambiguation)
Vatn	Water
Sundknattleikur	Water polo
Foss	Waterfall
Watergate-hneykslið	Watergate scandal
Vatt	Watt
Kílóvattstund	Watt-hour
Bylgjulengd	Wavelength
Vax	Wax
Vopn	Weapon
Veður	Weather
Vafri	Web browser
Vefsíða	Web page
Veber (SI-mælieining)	Weber (unit)
Miðvikudagur	Wednesday
Vika	Week
Þyngd	Weight
Weimar lýðveldið	Weimar Republic
Wellington	Wellington
Vestur	West
Vestur-Afríka	West Africa
Vesturbakkinn	West Bank
Vestur-Þýskaland	West Germany
Vestur-Sussex	West Sussex
Vestur-Virginía	West Virginia
Flokkur:Vestur-Virginía	West Virginia
Vestur-Ástralía	Western Australia
Vestrómverska keisaradæmið	Western Roman Empire
Vestur-Sahara	Western Sahara
Flokkur:Vestur-Sahara	Western Sahara
Hvalur	Whale
Hveiti	Wheat
Hjól	Wheel
Hvítahaf	White Sea
Hvít blóðkorn	White blood cell
Hvítur dvergur	White dwarf
Wicca	Wicca
Víðnet	Wide area network
Wiesbaden	Wiesbaden
Villiköttur	Wildcat
Erfðaskrá	Will (law)
William Blake	William Blake
William Butler Yeats	William Butler Yeats
William Faulkner	William Faulkner
William Golding	William Golding
William Henry Harrison	William Henry Harrison
William Howard Taft	William Howard Taft
Vilhjálmur 2. Þýskalandskeisari	William II
William James	William James
William McKinley	William McKinley
William Rowan Hamilton	William Rowan Hamilton
William Shakespeare	William Shakespeare
William Wordsworth	William Wordsworth
Blásturshljóðfæri	Wind instrument
Vindorka	Wind power
Windhoek	Windhoek
Vindmylla	Windmill
Gluggi	Window
Vín	Wine
Winston Churchill	Winston Churchill
Vetur	Winter
Flokkur:Vetrarólympíuleikar	Winter Olympic Games
Wisconsin	Wisconsin
Flokkur:Wisconsin	Wisconsin
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Kona	Woman
Viður	Wood
Woodrow Wilson	Woodrow Wilson
Tréblásturshljóðfæri	Woodwind instrument
Woody Allen	Woody Allen
Worcestershire	Worcestershire
Orð	Word
Alþjóða heilbrigðisstofnunin	World Health Organization
Alþjóða veðurfræðistofnunin	World Meteorological Organization
World Trade Center	World Trade Center
Alþjóðaviðskiptastofnunin	World Trade Organization
Fyrri heimsstyrjöldin	World War I
Flokkur:Fyrri heimsstyrjöldin	World War I
Seinni heimsstyrjöldin	World War II
Flokkur:Seinni heimsstyrjöldin	World War II
Veraldarvefurinn	World Wide Web
Flokkur:Veraldarvefurinn	World Wide Web
Wyoming	Wyoming
X	X
Röntgengeislun	X-ray
Xenon	Xenon
Xenofanes	Xenophanes
Xenofon	Xenophon
Xí	Xi
Y	Y
Yale-háskóli	Yale University
Jangtse	Yangtze River
Yasser Arafat	Yasser Arafat
Ár	Year
Flokkur:Ár	Years
Gulur	Yellow
Yellowstone-þjóðgarðurinn	Yellowstone National Park
Jemen	Yemen
Jerevan	Yerevan
Askur Yggdrasils	Yggdrasil
Jóga	Yoga
Yoko Ono	Yoko Ono
York	York
Ytterbín	Ytterbium
Yttrín	Yttrium
Júanveldið	Yuan Dynasty
Júgóslavía	Yugoslavia
Flokkur:Júgóslavía	Yugoslavia
Júrí Gagarín	Yuri Gagarin
Z	Z
Zachary Taylor	Zachary Taylor
Zagreb	Zagreb
Sambesí	Zambezi
Sambía	Zambia
Flokkur:Sambía	Zambia
Sansibar	Zanzibar
Zaragoza	Zaragoza
Sjáland	Zealand
Hvirfilpunktur	Zenith
Zenon frá Kítíon	Zeno of Citium
Zenon frá Eleu	Zeno of Elea
Zeta	Zeta
Seifur	Zeus
Simbabve	Zimbabwe
Flokkur:Simbabve	Zimbabwe
Sink	Zinc
Zíonismi	Zionism
Sirkon	Zirconium
Uppvakningur	Zombie
Dýrafræði	Zoology
Flokkur:Dýrafræði	Zoology
Saraþústra	Zoroaster
Sóróismi	Zoroastrianism
