Greek	English
Μπρόκολο	Broccoli
Βρώμιο	Bromine
Κρατέρωμα	Bronze
Εποχή του Χαλκού	Bronze Age
Καφέ αρκούδα	Brown Bear
Κίνηση Μπράουν	Brownian motion
Μπρους Λη	Bruce Lee
Μπριζ	Bruges
Μπρουνέι	Brunei
Κατηγορία:Μπρουνέι	Brunei
Βρυξέλλες	Brussels
Βουκουρέστι	Bucharest
Ανάκτορα του Μπάκιγχαμ	Buckingham Palace
Ρίτσαρτ Μπάκμινστερ Φύλλερ	Buckminster Fuller
Βουδαπέστη	Budapest
Βούδας	Buddha
Βουδισμός	Buddhism
Μπουένος Άιρες	Buenos Aires
Κτίριο	Building
Βουλγαρία	Bulgaria
Κατηγορία:Βουλγαρία	Bulgaria
Αρχή του Αρχιμήδη	Buoyancy
Δήμαρχος	Burgomaster
Μπουρκίνα Φάσο	Burkina Faso
Κατηγορία:Μπουρκίνα Φάσο	Burkina Faso
Μιανμάρ	Burma
Προύσα	Bursa
Κατηγορία:Μπουρούντι	Burundi
Λεωφορείο	Bus
Επιχείρηση	Business
Κατηγορία:Επιχειρηματίες	Businesspeople
Βουτάνιο	Butane
Φαινόμενο της πεταλούδας	Butterfly effect
Μπιντγκός	Bydgoszcz
Byte	Byte
Κατηγορία:Βυζαντινή Αυτοκρατορία	Byzantine Empire
C	C
C (γλώσσα προγραμματισμού)	C (programming language)
COBOL	COBOL
Κρυφή μνήμη ΚΜΕ	Cache
Κάδμιο	Cadmium
Κάδμος	Cadmus
Γλυφείον (αστερισμός)	Caelum
Καίσιο	Caesium
Κάιρο	Cairo
Καλαβρία	Calabria
Καλαί	Calais
Ασβέστιο	Calcium
Αριθμομηχανή	Calculator
Απειροστικός λογισμός	Calculus
Καλδέρα	Caldera
Ημερολόγιο	Calendar
Καλιφόρνια	California
Κατηγορία:Καλιφόρνια	California
Καλιφόρνιο	Californium
Χαλίφης	Caliph
Καλλιόπη (μυθολογία)	Calliope
Καλλιστώ (δορυφόρος)	Callisto (moon)
Καλλιστώ (μυθολογία)	Callisto (mythology)
Θερμίδα	Calorie
Γολγοθάς	Calvary
Καλυψώ	Calypso (mythology)
Καμπότζη	Cambodia
Κατηγορία:Καμπότζη	Cambodia
Κάμβρια περίοδος	Cambrian
Κέμπριτζ	Cambridge
Καμήλα	Camel
Φωτογραφική μηχανή	Camera
Καμερούν	Cameroon
Κατηγορία:Καμερούν	Cameroon
Καμπανία Ιταλίας	Campania
Καναδάς	Canada
Κατηγορία:Καναδάς	Canada
Κανάριες Νήσοι	Canary Islands
Κατηγορία:Κανάριες νήσοι	Canary Islands
Καμπέρα	Canberra
Καρκίνος	Cancer
Καρκίνος (αστερισμός)	Cancer (constellation)
Κύων Μέγας	Canis Major
Κύων Μικρός	Canis Minor
Κάνναβις	Cannabis
Κάννες	Cannes
Κάνωπος (αστέρας)	Canopus
Καντάτα	Cantata
Κνούτος	Canute the Great
Πυκνωτής	Capacitor
Κέιπ Τάουν	Cape Town
Πράσινο Ακρωτήριο	Cape Verde
Κατηγορία:Πράσινο Ακρωτήριο	Cape Verde
Πρωτεύουσα	Capital
Θανατική ποινή	Capital punishment
Καπιταλισμός	Capitalism
Καππαδοκία	Cappadocia
Αιγόκερως	Capricornus
Πιπεριά	Capsicum
Καράκας	Caracas
Καραβάτζιο	Caravaggio
Υδατάνθρακες	Carbohydrate
Άνθρακας	Carbon
Διοξείδιο του άνθρακα	Carbon dioxide
Εξαερωτήρας	Carburetor
Κάρντιφ	Cardiff
Καρδινάλιος	Cardinal (Catholicism)
Καραϊβική Θάλασσα	Caribbean Sea
Γελοιογραφία	Caricature
Τρόπις (αστερισμός)	Carina (constellation)
Καρλ Γκούσταβ Γιουνγκ	Carl Jung
Απόκριες	Carnival
Σαρκοφάγα	Carnivore
Κάρολος Λινναίος	Carolus Linnaeus
Καρπάθια Όρη	Carpathian Mountains
Καρότο	Carrot
Καρτεσιανό σύστημα συντεταγμένων	Cartesian coordinate system
Καρχηδόνα	Carthage
Χαρτογραφία	Cartography
Κατηγορία:Χαρτογραφία	Cartography
Καζαμπλάνκα	Casablanca
Καζίνο	Casino
Κασπία Θάλασσα	Caspian Sea
Κασσάνδρα	Cassandra
Κασσιόπη (αστερισμός)	Cassiopeia (constellation)
Χυτοσίδηρος	Cast iron
Ροκέ	Castling
Αφορμή πολέμου	Casus belli
Γάτα	Cat
Καταλωνία	Catalonia
Κατηγορία:Καταλωνία	Catalonia
Καταλύτης	Catalysis
Κατάφρακτος	Cataphract
Καύκασος	Caucasus
