English	Urdu
Indianapolis	انڈیاناپولس، انڈیانا
Indira Gandhi	اندرا گاندھی
Indonesia	انڈونیشیا
Indus River	دریائے سندھ
Inflammation	التہاب
Ingmar Bergman	انگمار برگمان
Integer	صحیح عدد
Intelligence	ذکاء
International Monetary Fund	بین الاقوامی مالیاتی فنڈ
Internet	شبکہ
Internment	بیگار کیمپ
Ion	آئون
Iowa	آئیووا
Iran	ایران
Iran	زمرہ:ایران
Iran-Iraq War	ایران عراق جنگ
Iraq	عراق
Iraq	زمرہ:عراق
Ishmael	اسماعیل علیہ السلام
Isis	آئسز
Islam	اسلام
Islam	زمرہ:اسلام
Islamabad	اسلام آباد
Islamic calendar	اسلامی تقویم
Isle of Man	آئل آف مین
Israel	اسرائیل
Istanbul	استنبول
Italian Peninsula	جزیرہ نما اٹلی
Italy	اطالیہ
Italy	زمرہ:اٹلی
Ivan Turgenev	ایوان ترگنیف
Jainism	جین مت
Jamaica	جمیکا
James Joyce	جیمز جوائس
Jammu and Kashmir	جموں و کشمیر
Janissary	ینی چری
January	جنوری
January 1	1 جنوری
January 19	19 جنوری
January 20	20 جنوری
January 6	6 جنوری
Japan	جاپان
Jazz	جاز
Jean-Jacques Rousseau	روسو
Jean-Paul Sartre	ژاں پال سارتر
Jeddah	جدہ
Jerusalem	بیت المقدس
Jesus	عیسیٰ علیہ السلام
Jew	یہودی
Jihad	جہاد
Jimmy Carter	جمی کارٹر
Joan of Arc	جون آف آرک
Johann Sebastian Bach	جوہن باخ
Johannes Kepler	کپلر
John Adams	جان ایڈمز
John Dalton	جان ڈالٹن
John Keats	جان کیٹس
Jordan	اردن
Joule	جاؤل
Judaism	یہودیت
Judaism	زمرہ:یہودیت
Jujutsu	جیوجٹسو
Jules Verne	جولس ورن
July	جولائی
June	جون
Juneau	جونیاؤ، الاسکا
Juno (mythology)	جونو
Jupiter	مشتری
Justinian I	جسٹینین اول
K2	کے ٹو
Kaaba	خانہ کعبہ
Kabul	کابل
Kandahar	قندھار
Kansas	کنساس
Karachi	کراچی
Karakoram	سلسلہ کوہ قراقرم
Karl Marx	کارل مارکس
Karnataka	کرناٹک
Katharine Hepburn	کیتھرین ہیپبرن
Kathmandu	کھٹمنڈو
Kazakhstan	قازقستان
Kentucky	کینٹکی
Kenya	کینیا
Khartoum	خرطوم
Kidney	كُلیَہ
Kiev	کیف
Kilogram	کلوگرام
Kilometre	کلومیٹر
Kinematics	جنبشیات
Kiribati	کیریباتی
Kirkuk	کرکوک
Knife	چھری
Knossos	کنوسوس
Konqueror	Konqueror
Konrad Adenauer	کونارڈ ایڈنائر
Kosovo	کوسووہ
Kosovo	زمرہ:کوسووہ
Krishna	کرشن
Kurdistan	کردستان
Kuwait	کویت
Kyrgyzstan	کرغیزستان
Lahore	لاہور
Lake Baikal	جھیل بیکال
Lake Constance	جھیل کونسٹانس
Laos	لاؤس
Law	قانون
Lawyer	قانوندان
Lazio	لازیو
Lead	رصاص
Leaf	پتا
League of Nations	جمعیت الاقوام
Leaning Tower of Pisa	پیسا ٹاور
Lebanon	لبنان
Leon Trotsky	ٹراٹسکی
Leonardo da Vinci	لیو نارڈو ڈی ونچی
Leonhard Euler	Leonhard Euler
Leprosy	جذام
Lepton	نحیفہ
Lesotho	لیسوتھو
Levant	لیونت
Lhotse	لہوٹسے
Liberalism	آزاد خیالی
Liberia	لائبیریا
Libya	لیبیا
Liechtenstein	لیختینستائن
Lieutenant	نقیب
Life	حیات
Light	روشنی
Light-year	نوری سال
Liguria	لیگوریا
Ligurian Sea	بحیرہ لیگوریئن
Line (mathematics)	خطوط مستقیم
Linear algebra	لکیری الجبرا
Linear algebra	زمرہ:لکیری الجبرا
Linguistics	لسانيات
Linux	لینکس
Liquid	مائع
Liquid crystal display	بلوری سیال تظاہرہ
Literature	ادب
Literature	زمرہ:ادب
Lombardy	لومباردیہ
London	لندن
Louis Pasteur	لوئی پاسچر
Louisiana	لوزیانا
Luciano Pavarotti	لوچانو پاواروتی
Ludwig van Beethoven	لڈوگ بیتھوون
Luxembourg	لکسمبرگ
Lymphatic system	نظام سیالہ
MIME	میمی
Mach number	ماک
Machine	آلہ
Machine code	آلاتی زبان
Machine gun	مشین گن
Macroeconomics	کلیاتی معاشیات
Madagascar	مڈغاسکر
Madeira	مادیعیرا
Madrid	میڈرڈ
Magic (paranormal)	جادو
Magna Carta	میگنا کارٹا
Magnetism	مقناطیسیت
Maharashtra	مہاراشٹر
Mahatma Gandhi	گاندھی
Maine	مینے
Major	اکبر (عہدہ)
Makalu	مکلو
Malaysia	ملائشیا
Malcolm X	میلکم ایکس
Maldives	مالدیپ
Mali	مالی
Malta	مالٹا
Mango	آم
Manitoba	مانیٹوبا
Marathon	میراتھن
March	مارچ
Marco Polo	مارکو پولو
Marcus Junius Brutus	بروٹس
Margaret Thatcher	مارگریٹ تھیچر
Markup language	زبان تدوین
Marshall Islands	جزائر مارشل
Mary (mother of Jesus)	مریم علیہا السلام
Maryland	میری لینڈ
Massachusetts	میساچوسٹس
Mata Hari	ماتا ہری
Mathematics	باب:ریاضیات
Matrix (mathematics)	میٹرکس
Matterhorn	میٹرہارن
Mauritania	موریتانیہ
Max Planck	میکس پلانک
May	مئی
May 1	1 مئی
May 24	24 مئی
Mecca	مکہ
Medicine	طب
Medina	مدینہ منورہ
Mediterranean Sea	بحیرہ روم
Meiosis	انتصاف
Mekong	دریائے میکانگ
Melting point	نقطہ انجماد
Mercury (element)	پارہ
Mercury (planet)	عطارد
Messenger RNA	پیامبر آر این اے
Metaphysics	مابعدالطبیعیات
Methylenedioxymethamphetamine	مدما
Metre	میٹر (پیمائش)
Metric space	بحر فضا
Mexico	میکسیکو
Michelangelo	مائکل اینجلو
Michigan	مشی گن
Microeconomics	جزیاتی معاشیات
Micronesia	مائیکرونیشیا
Microorganism	یک خلوی جاندار
Middle East	مشرقی وسطٰی
Milan	میلان
Minnesota	منیسوٹا
Mississippi River	دریائے مسیسپی
Missouri	مسوری
Mobile phone	محمول
Modulation	تحویر
Moldova	مالڈووا
Molecular biology	سالماتی حیاتیات
Molecular biology	زمرہ:سالماتی حیاتیات
Molecule	سالمہ
Molise	مولیزے
Monaco	مناکو
Monday	پیر
Mongolia	منگولیا
Mongoose	نیولا
Monocotyledon	یک دالہ
Mont Blanc	مونٹ بلانک
Montana	مونٹانا
Montenegro	مونٹینیگرو
Moon	چاند
Morocco	مراکش
Morocco	زمرہ:مراکش
Moscow	ماسکو
Mosque	مسجد
Mosul	موصل(شہر)
Mother Teresa	مدر ٹریسا
Motorcycle	آلیچرخہ
Mount Ararat	ارارات
Mount Etna	کوہ ایٹنا
Mount Everest	ماؤنٹ ایورسٹ
Mount Fuji	فیوجی
Mount Kilimanjaro	کلیمنجارو
Mouse (computing)	فارہ
Muhammad	محمد صلی اللہ علیہ و آلہ و سلم
Muhammad Ali	محمد علی (مکے باز)
Mule	خچر
Multimedia	کثیرالوسیط
Mumbai	ممبئی
Muscat	مسقط
Mutation	طَفرَہ
Myocardial infarction	احتشاء عضل قلب
NATO	نیٹو
Namib Desert	صحرائے نمیب
Namibia	نمیبیا
Nanga Parbat	نانگا پربت
Nanotechnology	قزمہ طرزیات
Natural number	قدرتی عدد
Natural science	علوم فطریہ
Nature	فطرت
Nature	زمرہ:فطرت
Nauru	ناورو
Nebraska	نیبراسکا
Nebula	سحابیہ
Neil Armstrong	نیل آرمسٹرانگ
Neon	نیون
Nepal	نیپال
Neptune	نیپچون
Nervous system	عصبی نظام
Netherlands	نیدرلینڈز
Neurology	اعصابیات
Neuron	عصبون
Nevada	نیواڈا
Neville Chamberlain	نوائل چیمبرلین
New Hampshire	نیو ہیمپشائر
New Jersey	نیو جرسی
New Mexico	نیو میکسیکو
New York City	نیویارک شہر
New Zealand	نیوزی لینڈ
Newfoundland and Labrador	نیو فاؤنڈ لینڈ اور لیبرے ڈار
Nicaragua	نکاراگوا
Niels Bohr	بورنیلز
Niger	نائجر
Niger River	دریائے نائجر
Nigeria	نائجیریا
Nikita Khrushchev	نکیتا خروشیف
Nile	دریائے نیل
Nobel Prize	نوبل انعام
Nobel Prize	زمرہ:نوبل انعام
Noble gas	غیر تعامل گیس
Normal distribution	معمول توزیع
North Africa	شمالی افریقہ
North America	شمالی امریکہ
North Carolina	شمالی کیرولینا
North Dakota	شمالی ڈکوٹا
North Korea	شمالی کوریا
North Pole	قطب شمالی
North Sea	بحیرہ شمال
Northern Europe	شمالی یورپ
Norway	ناروے
November	نومبر
November 2	2 نومبر
Novial	نوویال
Nuclear weapon	آبگرقنبلہ
Nucleon	مرکزیہ
Nucleotide	مرثالثہ
Nunavut	نناوت
Nutmeg	جائفل
OPEC	اوپیک
Ocean	سمندر
Oceanography	علم المحیطات
October	اکتوبر
October Revolution	انقلاب روس
Oedipus	اڈیپس
Ohio	اوہائیو
Oklahoma	اوکلاہوما
Oklahoma City	اوکلاہوما شہر، اوکلاہوما
Olympia	اولمپیا، واشنگٹن
Oman	سلطنت عمان
Ontario	انٹاریو
Opera	اوپرا
Operating system	عملیاتی نظام
Oregon	اوریگون
Organ (anatomy)	عُضو
Ornithology	طائریات
Osama bin Laden	اسامہ
Otto von Bismarck	بسمارک
Ottoman Empire	سلطنت عثمانیہ
Ounce	اونس
Oxygen	آکسیجن
Pablo Picasso	پکاسو
Pacific Ocean	بحر الکاہل
Pakistan	پاکستان
Pakistan	زمرہ:پاکستان
Paleontology	حفریات
Palestinian National Authority	فلسطین
Palmyra	تدمر
Pamir Mountains	سلسلہ کوہ پامیر
Papua New Guinea	پاپوا نیو گنی
Paraguay	پیراگوئے
Paris	پیرس
Parity (mathematics)	جفت عدد
Parody	پیروڈی
Parthenon	پارتھینون
Parthia	پارتھیا
Particle physics	ذراتی طبیعیات
Parvati	پاروتی
Pathology	امراضیات
Pearl Harbor	پرل ہاربر
Pennsylvania	پنسلوانیا
Peptide	Peptide
Perception	آگاہی
