English	Welsh
Confucianism	Conffiwsiaeth
Confucius	Conffiwsiws
Congo River	Afon Congo
Connecticut	Connecticut
Connecticut	Categori:Connecticut
Connective tissue	Meinwe cyswllt
Conservatism	Ceidwadaeth
Consonant	Cytsain
Constantine I	Cystennin I
Constantinople	Caergystennin
Constellation	Cytser
Continent	Cyfandir
Coordinated Universal Time	UTC
Copenhagen	Copenhagen
Copper	Copr
Cork (city)	Corc
Cornwall	Cernyw
Corona Borealis	Corona Borealis
Corsica	Corsica
Cosmology	Categori:Cosmoleg
Costa Rica	Costa Rica
Costa Rica	Categori:Costa Rica
Cotton	Cotwm
Council of Chalcedon	Cyngor Chalcedon
Council of Trent	Cyngor Trent
Country	Gwlad
Country music	Canu gwlad
Court	Llys (cyfraith)
Covalent bond	Bond cofalent
Crete	Creta
Cricket	Criced
Criminal law	Categori:Cyfraith droseddol
Criminology	Troseddeg
Criminology	Categori:Troseddeg
Croatia	Croatia
Croatia	Categori:Croatia
Crow	Brân
Crust (geology)	Cramen y Ddaear
Crustacean	Cramennog
Cuba	Cuba
Cuba	Categori:Cuba
Cucumber	Ciwcymbr
Cultural Revolution	Chwyldro Diwylliannol
Culture	Diwylliant
Culture	Categori:Diwylliant
Cumbria	Cumbria
Curitiba	Curitiba
Currency	Arian cyfred
Cyclades	Cyclades
Cyprus	Cyprus
Cyrillic alphabet	Yr wyddor Gyrilig
Cystic fibrosis	Ffibrosis systig
Czech Republic	Gweriniaeth Tsiec
Czech Republic	Categori:Gweriniaeth Tsiec
Czechoslovakia	Tsiecoslofacia
D	D
D. H. Lawrence	D. H. Lawrence
D. W. Griffith	D. W. Griffith
DNA	DNA
DVD	DVD
Dalai Lama	Dalai Lama
Dam	Argae
Damascus	Damascus
Dance	Dawns
Daniel Defoe	Daniel Defoe
Dante Alighieri	Dante Alighieri
Danube	Afon Donaw
Dar es Salaam	Dar es Salaam
Dardanelles	Dardanelles
Darjeeling	Darjeeling
Darwin	Darwin (Tiriogaeth y Gogledd)
Darwin	Darwin
Das Kapital	Das Kapital
Date Palm	Palmwydden ddatys
Day	Diwrnod
Days	Categori:Dyddiau
De facto	De facto
Dead Sea	Môr Marw
Death	Marwolaeth
Death	Categori:Marwolaeth
December	Rhagfyr
December 31	31 Rhagfyr
December 8	8 Rhagfyr
Decius (emperor)	Decius
Deco	Deco
Deer	Carw
Deimos (moon)	Deimos (lloeren)
Delaware	Delaware
Delaware	Categori:Delaware
Delphi	Delphi
Delta	Delta
Delta (letter)	Delta (llythyren)
Democracy	Democratiaeth
Democratic Party (United States)	Plaid Ddemocrataidd (Unol Daleithiau)
Democratic Republic of the Congo	Gweriniaeth Ddemocrataidd Congo
Demography	Demograffeg
Denmark	Denmarc
Denmark	Categori:Denmarc
Desert	Anialwch
Deserts	Categori:Anialwch
Desiderius Erasmus	Desiderius Erasmus
Design	Dylunio
Design	Categori:Dylunio
Detroit	Detroit, Michigan
Deuteronomy	Llyfr Deuteronomium
Devon	Dyfnaint
Devonian	Defonaidd
Dhaka	Dhaka
Dhaulagiri	Dhaulagiri
Diabetes mellitus	Clefyd y siwgr
Dialect	Tafodiaith
Diameter	Diamedr
Diana	Diana, Tywysoges Cymru
Dice	Dis
Dicotyledon	Deugotyledon
Dictionary	Geiriadur
Dingo	Dingo
Dinosaur	Deinosor
Diocletian	Diocletian
Diplomacy	Diplomyddiaeth
Diplomacy	Categori:Diplomyddiaeth
