Korean	English
혈액형	Blood type
혈관	Blood vessel
파랑	Blue
대왕고래	Blue Whale
멧돼지	Boar
보드 게임	Board game
보트	Boat
밥 말리	Bob Marley
바비 피셔	Bobby Fischer
보살	Bodhisattva
체히	Bohemia
보륨	Bohrium
끓는점	Boiling point
보이시	Boise
볼리비아	Bolivia
분류:볼리비아	Bolivia
볼리우드	Bollywood
볼로냐	Bologna
볼셰비키	Bolshevik
폭탄	Bomb
폭격기	Bomber
누에나방	Bombyx mori
뼈	Bone
골수	Bone marrow
본	Bonn
책	Book
에스텔 (구약성서)	Book of Esther
여호수아 (구약성서)	Book of Joshua
판관기	Book of Judges
몰몬경	Book of Mormon
민수기	Book of Numbers
요한 묵시록	Book of Revelation
룻기	Book of Ruth
불 대수	Boolean algebra (structure)
보르도	Bordeaux
보르네오 섬	Borneo
붕소	Boron
보스니아 헤르체고비나	Bosnia and Herzegovina
분류:보스니아 헤르체고비나	Bosnia and Herzegovina
보존 (입자)	Boson
보스포루스 해협	Bosporus
보스턴	Boston
보스턴 차 사건	Boston Tea Party
틀:봇	Bot
식물학	Botany
분류:식물학	Botany
보츠와나	Botswana
분류:보츠와나	Botswana
병 (용기)	Bottle
부르주아	Bourgeoisie
부르고뉴	Bourgogne
부베 섬	Bouvet Island
활	Bow (weapon)
볼링	Bowling
분류:권투 선수	Boxers
복싱	Boxing
분류:권투	Boxing
보일의 법칙	Boyle's law
괄호	Bracket
브라흐마	Brahma
브라마푸트라 강	Brahmaputra River
점자	Braille
뇌	Brain
브레인 스토밍	Brainstorming
브란덴부르크 주	Brandenburg
황동	Brass
십자화과	Brassicaceae
브래지어	Brassiere
브라티슬라바	Bratislava
브라운슈바이크	Braunschweig
브라질	Brazil
분류:브라질	Brazil
브라자빌	Brazzaville
빵	Bread
유방암	Breast cancer
브레멘	Bremen
브레멘 주	Bremen (state)
브레머하펜	Bremerhaven
브레스트	Brest
브르타뉴	Bretagne
다리	Bridge
분류:다리	Bridges
브리지타운	Bridgetown
브리즈번	Brisbane
브리티시컬럼비아 주	British Columbia
대영 제국	British Empire
브리튼 제도	British Isles
영국령 버진아일랜드	British Virgin Islands
분류:영국 사람	British people
브르노	Brno
브로민	Bromine
청동	Bronze
청동기 시대	Bronze Age
갈색	Brown
불곰	Brown Bear
이소룡	Bruce Lee
브루헤	Bruges
브루나이	Brunei
분류:브루나이	Brunei
브뤼셀	Brussels
부쿠레슈티	Bucharest
버킹엄 궁전	Buckingham Palace
벅민스터 풀러	Buckminster Fuller
메밀	Buckwheat
부다페스트	Budapest
부처	Buddha
불교	Buddhism
분류:불교	Buddhism
버디 홀리	Buddy Holly
부에노스아이레스	Buenos Aires
버펄로 (뉴욕 주)	Buffalo
건축물	Building
부줌부라	Bujumbura
불가리아	Bulgaria
분류:불가리아	Bulgaria
관료제	Bureaucracy
부르키나파소	Burkina Faso
분류:부르키나파소	Burkina Faso
미얀마	Burma
분류:미얀마	Burma
부르카	Burqa
부르사	Bursa
분류:부룬디	Burundi
버스	Bus
버스 (컴퓨터 구조)	Bus (computing)
사업	Business
분류:기업인	Businesspeople
뷰테인	Butane
버터	Butter
나비	Butterfly
나비 효과	Butterfly effect
비드고슈치	Bydgoszcz
바이트	Byte
분류:비잔티움 제국	Byzantine Empire
C	C
C (프로그래밍 언어)	C (programming language)
C. S. 루이스	C. S. Lewis
CD	CD (disambiguation)
CN 타워	CN Tower
코볼	COBOL
캐시	Cache
선인장	Cactus
카드뮴	Cadmium
카드무스	Cadmus
조각칼자리	Caelum
세슘	Caesium
카페인	Caffeine
카이로	Cairo
케이크	Cake
칼라브리아 주	Calabria
칼슘	Calcium
미적분학	Calculus
칼데라	Caldera
역법	Calendar
구경 (화기)	Caliber
캘리포니아 주	California
분류:캘리포니아 주	California
캘리포늄	Californium
칼리굴라	Caligula
칼리파	Caliphate
칼리오페	Calliope
칼리스토 (위성)	Callisto (moon)
칼리스토 (신화)	Callisto (mythology)
칼로리	Calorie
캘빈 쿨리지	Calvin Coolidge
칼뱅주의	Calvinism
캄보디아	Cambodia
분류:캄보디아	Cambodia
캄브리아기	Cambrian
케임브리지	Cambridge
케임브리지 (매사추세츠 주)	Cambridge
케임브리지 (동음이의)	Cambridge (disambiguation)
낙타	Camel
카망베르 (치즈)	Camembert (cheese)
사진기	Camera
카메룬	Cameroon
분류:카메룬	Cameroon
캄파니아 주	Campania
캐나다	Canada
분류:캐나다	Canada
캐나다 달러	Canadian dollar
운하	Canal
카나리아 제도	Canary Islands
분류:카나리아 제도	Canary Islands
캔버라	Canberra
암	Cancer
게자리	Cancer (constellation)
칸델라	Candela
양초	Candle
개과	Canidae
큰개자리	Canis Major
작은개자리	Canis Minor
대마초	Cannabis (drug)
칸 (프랑스)	Cannes
캐논 (기업)	Canon (company)
카노푸스	Canopus
캔터베리	Canterbury
광둥어	Cantonese (linguistics)
크누트 대왕	Canute the Great
전기용량	Capacitance
콘덴서	Capacitor
케이프커내버럴	Cape Canaveral
혼 곶	Cape Horn
케이프타운	Cape Town
카보베르데	Cape Verde
분류:카보베르데	Cape Verde
희망봉	Cape of Good Hope
수도	Capital
자본	Capital (economics)
사형	Capital punishment
자본주의	Capitalism
카파도키아	Cappadocia
염소자리	Capricornus
고추류	Capsicum
카라카스	Caracas
카람볼라	Carambola
카라바조	Caravaggio
탄수화물	Carbohydrate
탄소	Carbon
탄소의 순환	Carbon cycle
이산화 탄소	Carbon dioxide
일산화 탄소	Carbon monoxide
석탄기	Carboniferous
카복실산	Carboxylic acid
카디프	Cardiff
추기경	Cardinal (Catholicism)
리슐리외	Cardinal Richelieu
분류:심장학	Cardiology
분류:순환 기관	Cardiovascular system
서인도 제도	Caribbean
분류:카리브 해	Caribbean
카리브 해	Caribbean Sea
용골자리	Carina (constellation)
카를 융	Carl Jung
칼 루이스	Carl Lewis
카를 마리아 폰 베버	Carl Maria von Weber
사육제	Carnival
식육목	Carnivora
육식성	Carnivore
식충식물	Carnivorous plant
카롤링거 왕가	Carolingian dynasty
칼 폰 린네	Carolus Linnaeus
카르파티아 산맥	Carpathian Mountains
당근	Carrot
카슨 시	Carson City
카르타헤나 (스페인)	Cartagena
직교 좌표계	Cartesian coordinate system
곱집합	Cartesian product
카르타고	Carthage
분류:지도학	Cartography
석죽목	Caryophyllales
카사블랑카	Casablanca
카지노	Casino
카스피 해	Caspian Sea
카산드라	Cassandra
카시오페이아자리	Cassiopeia (constellation)
카스트제	Caste
성 (건조물)	Castle
캐슬링	Castling
캐스트리스	Castries
고양이	Cat
카탈루냐 지방	Catalonia
분류:카탈루냐 지방	Catalonia
촉매	Catalysis
메기목	Catfish
카타리파	Catharism
성당	Cathedral
캐서린 파	Catherine Parr
아라곤의 캐서린	Catherine of Aragon
보편적 교회	Catholicism
소	Cattle
카프카스	Caucasus
분류:카프카스	Caucasus
카프카스 산맥	Caucasus Mountains
인과관계	Causality
기병	Cavalry
동굴	Cave
케이맨 제도	Cayman Islands
분류:천체역학	Celestial mechanics
천구	Celestial sphere
금욕	Celibacy
세포	Cell (biology)
세포막	Cell membrane
세포핵	Cell nucleus
첼로	Cello
섭씨	Celsius
신생대	Cenozoic
인구 조사	Census
켄타우로스	Centaur
센타우루스자리	Centaurus
질량 중심	Center of mass
센티미터	Centimetre
중앙아프리카	Central Africa
중앙아프리카 공화국	Central African Republic
분류:중앙아프리카 공화국	Central African Republic
중앙아메리카	Central America
미국 중앙정보국	Central Intelligence Agency
