English	Icelandic
Crimea	Krímskagi
Crimean War	Krímstríðið
Croatia	Króatía
Croatia	Flokkur:Króatía
Crocodilia	Krókódílaættbálkur
Cross product	Krossfeldi
Crossbow	Lásbogi
Crust (geology)	Jarðskorpa
Crustacean	Krabbadýr
Crystallography	Kristallafræði
Crystallography	Flokkur:Kristallafræði
Cuba	Kúba
Cuba	Flokkur:Kúba
Cubic metre	Rúmmetri
Cuculiformes	Gaukfuglar
Culture	Menning
Culture	Flokkur:Menning
Cumbria	Cumbria
Curitiba	Curitiba
Curling	Krulla
Currency	Flokkur:Gjaldmiðlar
Currency	Gjaldmiðill
Curry	Karrí
Cycling	Flokkur:Hjólreiðar
Cylinder (geometry)	Sívalningur
Cyperaceae	Stararætt
Cyprinid	Vatnakarpar
Cypriniformes	Karpfiskar
Cyprus	Kýpur
Cyrillic alphabet	Kýrillískt stafróf
Cytoskeleton	Frymisgrind
Czech Republic	Tékkland
Czech Republic	Flokkur:Tékkland
Czechoslovakia	Tékkóslóvakía
Czechoslovakia	Flokkur:Tékkóslóvakía
D	D
DNA	DNA
DVD	Mynddiskur
Daguerreotype	Daguerreaðferð
Dakar	Dakar
Dalai Lama	Dalai Lama
Dallas	Dallas
Dam	Stífla
Damascus	Damaskus
Dance	Dans
Dandelion	Túnfífill
Daniel Bernoulli	Daniel Bernoulli
Daniel Defoe	Daniel Defoe
Danish krone	Dönsk króna
Dante Alighieri	Dante Alighieri
Danube	Dóná
Dar es Salaam	Dar es Salaam
Dardanelles	Dardanellasund
Dark matter	Hulduefni
Darwin	Darwin (Ástralía)
Darwin	Darwin
Data structure	Gagnagrind
Database	Gagnagrunnur
Date Palm	Döðlupálmi
Dative case	Þágufall
David Hilbert	David Hilbert
