English	Lithuanian
Autumn	Ruduo
Auvergne (region)	Overnė
Avant-garde	Avangardas
Avatar	Avataras
Avena	Aviža
Averroes	Averojus
Avesta	Avesta
Aviation	Aviacija
Avicenna	Avicena
Avignon	Avinjonas
Avocado	Amerikinė persėja
Axe	Kirvis
Axiom	Aksioma
Axon	Aksonas
Azerbaijan	Azerbaidžanas
Azerbaijan	Kategorija:Azerbaidžanas
Azimuth	Azimutas
Azores	Azorai
Aztec	Actekai
Azurite	Azuritas
B	B
BASIC	BASIC
Baal	Baalas
Baboon	Pavianai
Babylon	Babilonas (miestas)
Babylonia	Babilonija
Backgammon	Nardai
Bacteria	Bakterijos
Bacteriophage	Bakteriofagas
Bactrian Camel	Dvikupris kupranugaris
Badminton	Badmintonas
Baffin Bay	Bafino jūra
Baffin Island	Bafino Žemė
Baghdad	Bagdadas
Bahamas	Kategorija:Bahamos
Bahrain	Bahreinas
Bahrain	Kategorija:Bahreinas
Baku	Baku
Balalaika	Balalaika
Balance sheet	Balansas
Baldr	Baldras
Balearic Islands	Balearų salos
Baleen whale	Bedančiai banginiai
Bali	Balis
Balkan Mountains	Stara Planina
Balkan Wars	Balkanų karai
Balkans	Balkanai
Ball	Kamuolys
Ballet	Baletas
Ballet	Kategorija:Baletas
Ballpoint pen	Tušinukas
Baltic Sea	Baltijos jūra
Baltimore	Baltimorė
Bamako	Bamakas
Bamboo	Bambukai
Banana	Bananas
Banana republic	Bananinė respublika
Bangalore	Bengalūras
Bangkok	Bankokas
Bangladesh	Bangladešas
Bangladesh	Kategorija:Bangladešas
Bangui	Bangis
Banjul	Bandžulis
Bank	Bankas
Banknote	Banknotas
Banks	Kategorija:Bankai
Baptist	Baptistai
Barbados	Barbadosas
Barbados	Kategorija:Barbadosas
Barbarian	Barbarai
Barcelona	Barselona
Barents Sea	Barenco jūra
Bari	Baris (Italija)
Barium	Baris
Barley	Paprastasis miežis
Barn Owl	Liepsnotoji pelėda
Barn Swallow	Šelmeninė kregždė
Barometer	Barometras
Baron	Baronas
Baroque	Barokas
Barranquilla	Barankilija
Baryon	Barionas
Basalt	Bazaltas
Base (chemistry)	Bazė
Baseball	Beisbolas
Basel	Bazelis
Basidiomycota	Papėdgrybiai
Basilica	Bazilika
Basilicata	Bazilikata
Basketball	Krepšinis
Basketball	Kategorija:Krepšinis
Basra	Basra
Bass guitar	Bosinė gitara
Basse-Normandie	Žemutinė Normandija
Basseterre	Basteras
Bassoon	Fagotas
Bast (mythology)	Basta
Bastille	Bastilija
Bat	Šikšnosparniai
Batman	Betmenas
Bats	Kategorija:Šikšnosparniai
Battalion	Batalionas
Battle of Austerlitz	Austerlico mūšis
Battle of Marathon	Maratono mūšis
Battle of Waterloo	Vaterlo mūšis
