Croatian	English
Kalisto (mitologija)	Callisto (mythology)
Kalorija	Calorie
Calvin Coolidge	Calvin Coolidge
Kalipso	Calypso (mythology)
Kambodža	Cambodia
Kategorija:Kambodža	Cambodia
Cambridge	Cambridge
Deve starog svijeta	Camel
Kamerun	Cameroon
Kategorija:Kamerun	Cameroon
Kampanija	Campania
Kanada	Canada
Kategorija:Kanada	Canada
Kanadski dolar	Canadian dollar
Kanari	Canary Islands
Canberra	Canberra
Rak (bolest)	Cancer
Rak (zviježđe)	Cancer (constellation)
Kandela	Candela
Svijeća	Candle
Psi	Canidae
Veliki pas	Canis Major
Mali pas	Canis Minor
Konoplja	Cannabis
Marihuana	Cannabis (drug)
Cannes	Cannes
Top	Cannon
Canon	Canon (company)
Canopus	Canopus
Kantata	Cantata
Knut Veliki	Canute the Great
Električni kapacitet	Capacitance
Električni kondenzator	Capacitor
Cape Canaveral	Cape Canaveral
Kaapstad	Cape Town
Zelenortska Republika	Cape Verde
Kategorija:Zelenortska Republika	Cape Verde
Rt dobre nade	Cape of Good Hope
Glavni grad	Capital
Kapital	Capital (economics)
Smrtna kazna	Capital punishment
Kapitalizam	Capitalism
Jarac (zviježđe)	Capricornus
Paprika	Capsicum
Caracas	Caracas
Karat	Carat (mass)
Karat	Carat (purity)
Caravaggio	Caravaggio
Ugljikohidrati	Carbohydrate
Ugljik	Carbon
Ugljikov dioksid	Carbon dioxide
Ugljikov monoksid	Carbon monoxide
Karboksilne kiseline	Carboxylic acid
Cardiff	Cardiff
Kardinal	Cardinal (Catholicism)
Armand Jean du Plessis, kardinal Richelieu	Cardinal Richelieu
Kardiologija	Cardiology
Karipsko more	Caribbean Sea
Karikatura	Caricature
Kobilica (zviježđe)	Carina (constellation)
Carl Gustav Jung	Carl Jung
Carl Lewis	Carl Lewis
Carl Maria von Weber	Carl Maria von Weber
Poklade	Carnival
Zvijeri	Carnivora
Mesožderi	Carnivore
Biljke mesožderke	Carnivorous plant
Carl Linné	Carolus Linnaeus
Mrkva	Carrot
Kartaga	Carthage
Kartografija	Cartography
Kategorija:Kartografija	Cartography
Cary Grant	Cary Grant
Caryophyllales	Caryophyllales
Kaspijsko jezero	Caspian Sea
Kasandra	Cassandra
Kasiopeja (zviježđe)	Cassiopeia (constellation)
Kaste	Caste
Kastilja	Castile (historical region)
Rokada	Castling
Castries	Castries
Domaća mačka	Cat
Katalonija	Catalonia
Katalizator	Catalysis
Katarakta	Cataract
Katedrala	Cathedral
Katarina Parr	Catherine Parr
Katarina Aragonska	Catherine of Aragon
Katoda	Cathode
Katoličanstvo	Catholicism
Domaće govedo	Cattle
Katul	Catullus
