English	Basque
Rhinoceros	গন্ডার
Rhode Island	রোড আয়ল্যান্ড
Rhodium	রোহডিয়াম
Richard Feynman	রিচার্ড ফাইনম্যান
Richard Nixon	রিচার্ড নিক্সন
Riga	রিগা
Rio Grande	রিও গ্র্যান্ড নদী
Rio de Janeiro	রিউ দি জানেইরু
River Thames	টেম্‌স নদী
Riyadh	রিয়াদ
Roald Amundsen	রোয়াল্ড এমুন্ডসেন
Robert A. Heinlein	রবার্ট এ হাইনলাইন
Robert Andrews Millikan	রবার্ট মিলিকান
Robert Koch	রবার্ট কখ
Robert Louis Stevenson	রবার্ট লুইস স্টিভেন্সন
Robot	রোবট
Rocky Mountains	রকি পর্বতমালা
Roentgenium	রোয়েন্টজেনিয়াম
Roman Catholic Church	রোমান ক্যাথলিক চার্চ
Roman Empire	রোমান সাম্রাজ্য
Romania	রোমানিয়া
Rome	রোম
Ronald Reagan	রোনাল্ড রেগান
Router	রাউটার
Rubidium	রুবিডিয়াম
Ruby (programming language)	রুবি (প্রোগ্রামিং ভাষা)
Rudyard Kipling	রুডইয়ার্ড কিপলিং
Rupert Murdoch	রুপার্ট মার্ডক
Russia	রাশিয়া
Ruthenium	রুথেনিয়াম
Rutherford B. Hayes	রাদারফোর্ড বি. হেইজ্‌
Rutherfordium	রাদারফোর্ডিয়াম
Rwanda	রুয়ান্ডা
SOAP	সিম্প্‌ল অবজেক্ট এক্সেস প্রোটকল
Saddam Hussein	সাদ্দাম হুসাইন
Sagitta	বাণ ণ্ডল
Sahara	সাহারা মরুভূমি
Sake	সাকে
Salman Rushdie	সালমান রুশদি
Salvador	সালভাদোর, বাইয়া
Samarium	সামারিয়াম
Samoa	সামোয়া
San Francisco	সান ফ্রান্সিসকো
San Marino	সান মারিনো
Sanskrit	সংস্কৃত ভাষা
Santiago	সান্তিয়াগো, চিলি
Saturday	শনিবার
Saudi Arabia	সৌদি আরব
Saul Bellow	সল বেলো
Scandium	স্ক্যানডিয়াম
Scheme (programming language)	স্কিম (প্রোগ্রামিং ভাষা)
Science	বিজ্ঞান
Science	Category:বিজ্ঞান
Science fiction	বিজ্ঞান কল্পকাহিনী
Scientist	বিজ্ঞানী
Scissors	কাঁচি
Scorpius	বৃশ্চিক রাশি
Scotland	স্কটল্যান্ড
Sculptor (constellation)	ভাস্কর মণ্ডল
Sea level	সমুদ্র সমতল
Sea of Azov	আজভ সাগর
Seaborgium	সিবোরজিয়াম
Sears Tower	সিয়ার্স টাওয়ার
Second	সেকেন্ড
Second Crusade	দ্বিতীয় ক্রুসেড
Selenium	সেলেনিয়াম
Semantics	অর্থবিজ্ঞান
Semiconductor	অর্ধপরিবাহী
Semiotics	সংকেতবিজ্ঞান
Senegal	সেনেগাল
Seoul	সিউল
Seppuku	হারা-কিরি
September	সেপ্টেম্বর
September 11	সেপ্টেম্বর ১১
September 11	সেপ্টেম্বর ১১, ২০০১ এর হামলা
September 17	সেপ্টেম্বর ১৭
September 29	সেপ্টেম্বর ২৯
Serbia	সার্বিয়া
Sergei Eisenstein	সের্গে আইজেনস্টাইন
Serpens	সর্প মণ্ডল
Set	সেট
Set theory	সেট তত্ত্ব
Seven Years' War	সেভেন ইয়ার্স যুদ্ধ
Sex	লিঙ্গ
Shahadah	শাহাদাহ্‌
Shanghai	সাংহাই
Share (finance)	অংশপত্র
Shark	হাঙ্গর
Sherlock Holmes	শার্লক হোম্‌স
Shinto	শিন্তো ধর্ম
Ship	জাহাজ
Sierra Leone	সিয়েরা লিওন
Sigmund Freud	সিগমুন্ড ফ্রয়েড
Sikhism	শিখ ধর্ম
Sikkim	সিকিম
Silicon dioxide	সিলিকন ডাই অক্সাইড
Silk	রেশম
Silk Road	সিল্ক রোড
Silver	রূপা
Simone de Beauvoir	সিমোন দ্য বোভোয়ার
Singapore	সিঙ্গাপুর
Sirius	লুব্ধক
Skylab	স্কাইল্যাব
Slovakia	স্লোভাকিয়া
Slovenia	স্লোভেনিয়া
Small intestine	ক্ষুদ্রান্ত্র
Snake	সাপ
Socialism	সমাজতন্ত্র
Socialism	Category:সমাজতন্ত্র
Society	সমাজ
Sociolinguistics	সমাজভাষাবিজ্ঞান
Socrates	সক্রেটিস
Sodium	সোডিয়াম
Soil	মৃত্তিকা
Solar eclipse	সূর্যগ্রহণ
Somalia	সোমালিয়া
Sophocles	সফোক্লিস
Sound	শব্দ
South America	দক্ষিণ আমেরিকা
South Carolina	সাউথ ক্যারোলাইনা
South Dakota	সাউথ ডাকোটা
South Korea	দক্ষিণ কোরিয়া
South Pole	দক্ষিণ মেরু
Southeast Asia	দক্ষিণ-পূর্ব এশিয়া
Soviet Union	সোভিয়েত ইউনিয়ন
Spain	স্পেন
Sparta	স্পার্টা
Special relativity	বিশেষ আপেক্ষিকতা
Speed of light	আলোর দ্রুতি
Spleen	প্লীহা
Sport	ক্রীড়া
Springfield	স্প্রিংফিল্ড, ইলিনয়
Square (geometry)	বর্গক্ষেত্র
Square metre	বর্গমিটার
Sri Lanka	শ্রীলঙ্কা
Stanford University	স্ট্যানফোর্ড বিশ্ববিদ্যালয়
Stanley Kubrick	স্ট্যানলি কুবরিক
Star	তারা
State	রাষ্ট্র
Statistics	পরিসংখ্যান
Steffi Graf	স্টেফি গ্রাফ
Stephen Hawking	স্টিফেন হকিং
Steven Spielberg	স্টিভেন স্পিলবার্গ
Sting	স্টিং
Stone Age	প্রস্তর যুগ
Stonehenge	স্টোনহেঞ্জ
Strait of Magellan	ম্যাজেলান প্রণালী
Strontium	স্ট্রনশিয়াম
Styx	স্টিক্স নদী (পুরাণ)
Subset	উপসেট
Sudan	সুদান
Suez Canal	সুয়েজ খাল
Sugar	চিনি
Sulfur	গন্ধক
Sumer	সুমের
Sun	সূর্য
Sunday	রবিবার
Supernova	অতি নবতারা
Surgery	শল্যচিকিৎসা
Suriname	সুরিনাম
Susan Sontag	সুসান সনট্যাগ
Suva	সুভা
Swaziland	সোয়াজিল্যান্ড
Sweden	সুইডেন
Syntax	বাক্যতত্ত্ব
Syria	সিরিয়া
T. E. Lawrence	টমাস এডওয়ার্ড লরেন্স
T. S. Eliot	টি এস এলিয়ট
Tacitus	কর্নেলিয়ুস তাকিতুস
Taipei	তাইপে
Taj Mahal	তাজ মহল
Tajikistan	তাজিকিস্তান
Tallahassee	টালাহাসি, ফ্লোরিডা
Tallinn	তাল্লিন
Tamil Nadu	তামিল নাড়ু
Tantalum	ট্যানটালাম
Tanzania	তানজানিয়া
Tbilisi	তিবি‌লিসি
Tea	চা
Technetium	টেকনেটিয়াম
Technology	প্রযুক্তি
Tehran	তেহরান
Tel Aviv	তেল আভিভ
Telecommunication	টেলিযোগাযোগ
Telescopium	দূরবীক্ষণ মণ্ডল
Tellurium	টেলুরিয়াম
Temple of Artemis	আর্টেমিসের মন্দির
Tennessee	টেনেসী
Tennis	টেনিস
Tenzing Norgay	তেনজিং নরগে
Terbium	টারবিয়াম
Texas	টেক্সাস
Thailand	থাইল্যান্ড
Thales	থেলিস
Thallium	থ্যালিয়াম
The Gambia	গাম্বিয়া
Theodor Mommsen	থিওডর মম্‌সেন
Theodore Roosevelt	থিওডোর রুজ্‌ভেল্ট
Theorem	উপপাদ্য
Thermodynamics	তাপগতিবিজ্ঞান
Third Crusade	তৃতীয় ক্রুসেড
Thomas Edison	টমাস আলভা এডিসন
Thomas Hobbes	টমাস হব্‌স
Thomas Jefferson	টমাস জেফারসন
Thomas Malthus	টমাস ম্যালথাস
Thor	থর
Thorium	থোরিয়াম
Thulium	থুলিয়াম
Thursday	বৃহস্পতিবার
Tibet	তিব্বত
Tide	জোয়ার-ভাটা
Tierra del Fuego	তিয়ের্‌রা দেল ফুয়েগো
Tigris	টাইগ্রিস
Time	সময়
Time	Category:সময়
Time zone	সময় অঞ্চল
Timur	তৈমুর
Tin	টিন
Tirana	তিরানা
Titanium	টাইটানিয়াম
Tom Hanks	টম হ্যাঙ্কস
Tom and Jerry	টম অ্যাণ্ড জেরি
Toni Morrison	টনি মরিসন
Tony Blair	টোনি ব্লেয়ার
Tooth	দাঁত
Torah	তৌরাত
Tornado	টর্নেডো
Toronto	টরোন্টো
Tower of London	টাওয়ার অফ লন্ডন
Toy	খেলনা
Toyota	টয়োটা
Trade	বাণিজ্য
Tradition	ঐতিহ্য
Transistor	ট্রানজিস্টর
Treaty of Versailles	ভার্সাই চুক্তি
Triangle	ত্রিভুজ
Triangulum	ত্রিকোণ মণ্ডল
Triangulum Australe	দক্ষিণ ত্রিকোণ মণ্ডল
Trigonometry	ত্রিকোণমিতি
Trinidad and Tobago	ত্রিনিদাদ ও টোবাগো
Tripoli	ত্রিপোলি
Troy	ট্রয়
Tryptophan	ট্রিপ্টোফ্যান
Tuberculosis	যক্ষ্মা
Tucana	টুকানা মণ্ডল
Tuesday	মঙ্গলবার
Tunisia	তিউনিসিয়া
Turkey	তুরস্ক
Turkmenistan	তুর্কমেনিস্তান
Tux	টাক্স
UNESCO	জাতিসংঘ শিক্ষা, বিজ্ঞান ও সংস্কৃতি সংস্থা
Uganda	উগান্ডা
Ukraine	ইউক্রেন
Ulan Bator	উলানবাটর
Ulysses S. Grant	ইউলিসিস এস গ্রান্ট
Umbrella	ছাতা (ছত্র)
Uncertainty principle	অনিশ্চয়তা নীতি
Unidentified flying object	অদ্ভুত উড়ন্ত বস্তু
United Arab Emirates	সংযুক্ত আরব আমিরাত
United Kingdom	যুক্তরাজ্য
United Nations	জাতিসংঘ
United Nations Children's Fund	ইউনিসেফ
United States	মার্কিন যুক্তরাষ্ট্র
United States dollar	মার্কিন ডলার
Universe	মহাবিশ্ব
University	বিশ্ববিদ্যালয়
University of Chicago	শিকাগো বিশ্ববিদ্যালয়
University of Pennsylvania	পেন্সিল্‌ভেনিয়া বিশ্ববিদ্যালয়
Unix	ইউনিক্স
Ununbium	ইউনুনবিয়াম
Ununhexium	ইউনানহেক্সিয়াম
Ununpentium	ইউনুনপেন্টিয়াম
Ununquadium	ইউনুনকোয়াডিয়াম
Ununtrium	ইউনুনট্রিয়াম
Upanishad	উপনিষদ
Ur	উর
Ural Mountains	উরাল পর্বতমালা
Uranium	ইউরেনিয়াম
Uranus	ইউরেনাস গ্রহ
Uranus (mythology)	ইউরেনাস (পৌরাণিক চরিত্র)
Ursa Major	সপ্তর্ষি মণ্ডল
Ursa Minor	লঘু সপ্তর্ষি মণ্ডল
Uruguay	উরুগুয়ে
Utah	ইউটা
Uttar Pradesh	উত্তর প্রদেশ
Uzbekistan	উজবেকিস্তান
Vaduz	ফাডুৎস
Valletta	ভ্যালেটা
Vanadium	ভ্যানাডিয়াম
Vancouver	ভ্যাঙ্কুভার
Vatican City	ভ্যাটিকান সিটি
Vector (spatial)	সদিক রাশি
Vega	অভিজিৎ (তারা)
Vegetable	শাক সব্জি
Vela (constellation)	ভেলা মণ্ডল
Venezuela	ভেনেজুয়েলা
Venus	শুক্র গ্রহ
Venus (mythology)	ভেনাস
Vermont	ভার্মন্ট
Victor Hugo	ভিক্টর হুগো
Vienna	ভিয়েনা
Vientiane	ভিয়েনতিয়েন
Vietnam	ভিয়েতনাম
Vietnam War	ভিয়েতনাম যুদ্ধ
Viking	ভাইকিং
Vilfredo Pareto	ভিলফ্রেদো পারেতো
Village	গ্রাম
Vilnius	ভিল্‌নিয়াস
Vincent van Gogh	ভিনসেন্ট ভ্যান গখ
Virgil	ভের্গিল
Virginia	ভার্জিনিয়া
Viscosity	সান্দ্রতা
Vittorio De Sica	ভিত্তোরিও দে সিকা
Vladimir Lenin	ভ্লাদিমির লেনিন
Vladimir Nabokov	ভ্‌লাদিমির নাবোকভ্‌
Volans	পতত্রীমীন মণ্ডল
Volt	ভোল্ট
Voltaire	ভলতেয়ার
Vomiting	বমি
Vulpecula	শৃগাল মণ্ডল
W. Somerset Maugham	উইলিয়াম সমারসেট মম্‌
Wales	ওয়েল্‌স্‌
Walt Disney	ওয়াল্ট ডিজনি
Walter Scott	ওয়াল্টার স্কট
War	যুদ্ধ
Warsaw	ওয়ার্সা
Washington	ওয়াশিংটন, ডি.সি.
Washington	ওয়াশিংটন (অঙ্গরাজ্য)
Water	পানি
Watermelon	তরমুজ
Watt	ওয়াট (একক)
Web browser	ওয়েব ব্রাউজার
Wednesday	বুধবার
Week	সপ্তাহ
Weight	ওজন (ভার)
West Bengal	পশ্চিমবঙ্গ
West Virginia	ওয়েস্ট ভার্জিনিয়া
White dwarf	শ্বেত বামন
William Blake	উইলিয়াম ব্লেক
William Faulkner	উইলিয়াম ফক্‌নার
William Henry Harrison	উইলিয়াম হেনরি হ্যারিসন
William Herschel	উইলিয়াম হার্শেল
William Howard Taft	উইলিয়াম হাওয়ার্ড ট্যাফ্‌ট্‌
William James	উইলিয়াম জেম্‌স
William McKinley	উইলিয়াম ম্যাকিন্‌লি
William Shakespeare	উইলিয়াম শেক্সপিয়ার
William Shockley	উইলিয়াম ব্র্যাডফোর্ড শক্‌লি
William of Ockham	অকহামের উইলিয়াম
Window	জানালা
Winston Churchill	উইন্‌স্টন চার্চিল
Wisconsin	উইসকনসিন
Wolfgang Amadeus Mozart	ভোল্‌ফগাংক্‌ আমাডেয়ুস মোৎসার্ট
Wolfgang Pauli	ভোল্‌ফগাং পাউলি
Woodrow Wilson	উড্রো উইল্‌সন
World Bank	বিশ্ব ব্যাংক
World Health Organization	বিশ্ব স্বাস্থ্য সংস্থা
World Trade Center	ওয়ার্ল্ড ট্রেড সেন্টার
World Trade Organization	বিশ্ব বাণিজ্য সংস্থা
World War II	দ্বিতীয় বিশ্বযুদ্ধ
Wormhole	ক্ষুদ্রবিবর
Wyoming	ওয়াইয়োমিং
X-ray	রঞ্জন রশ্মি
Xenon	জেনন
Xenophanes	ক্সেনোফানিজ
Yale University	ইয়েল বিশ্ববিদ্যালয়
Yangon	ইয়াংগুন
Yasser Arafat	ইয়াসির আরাফাত
Yeast	ইস্ট
Yemen	ইয়েমেন
Yerevan	ইয়েরেভান
Young's modulus	ইয়ং-এর গুণাঙ্ক
Ytterbium	ইটারবিয়াম
Yttrium	ইট্রিয়াম
Yuri Gagarin	ইউরি গ্যাগারিন
Zachary Taylor	জ্যাকারি টেইলার
Zagreb	জাগরেব
Zambia	জাম্বিয়া
Zebra	জেবরা
Zenith	সুবিন্দু
Zeno of Elea	এলেয়া-র জিনো
Zeus	জিউস
Zeus (disambiguation)	জিউস
Zimbabwe	জিম্বাবুয়ে
Zoology	প্রাণিবিজ্ঞান
Zoroaster	জরথুস্ত্র
Zulu	জুলু
