Danish	English
Blodåre	Blood vessel
Blå	Blue
Blåhval	Blue Whale
Blues	Blues
Vildsvin	Boar
Brætspil	Board game
Båd	Boat
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bobby Fischer	Bobby Fischer
Bobslæde (sportsgren)	Bobsleigh
Bodhisattva	Bodhisattva
Body Mass Index	Body mass index
Bodybuilding	Bodybuilding
Bøhmen	Bohemia
Bohrium	Bohrium
Kogepunkt	Boiling point
Boise	Boise
Karl Johan (svamp)	Boletus edulis
Bolivia	Bolivia
Kategori:Bolivia	Bolivia
Bollywood	Bollywood
Bologna	Bologna
Bolsjevik	Bolshevik
Bolzano	Bolzano
Bombe	Bomb
Bombefly	Bomber
Obligation	Bond (finance)
Knogle (anatomi)	Bone
Knoglemarv	Bone marrow
Bonn	Bonn
Bonsai	Bonsai
Bog	Book
Esters Bog	Book of Esther
Josvabogen	Book of Joshua
Dommerbogen	Book of Judges
Mormons Bog	Book of Mormon
Fjerde Mosebog	Book of Numbers
Johannes' Åbenbaring	Book of Revelation
Ruths bog	Book of Ruth
Boomerang	Boomerang
Bordeaux (by)	Bordeaux
Boris Pasternak	Boris Pasternak
Boris Spasskij	Boris Spassky
Borneo	Borneo
Bor (grundstof)	Boron
Bosnien-Hercegovina	Bosnia and Herzegovina
Kategori:Bosnien-Hercegovina	Bosnia and Herzegovina
Bosporus	Bosporus
Boston	Boston
Teselskabet i Boston	Boston Tea Party
Skabelon:Bot	Bot
Botanisk have	Botanical garden
Botanik	Botany
Kategori:Botanik	Botany
Botswana	Botswana
Kategori:Botswana	Botswana
Flaske	Bottle
Øresvin	Bottlenose Dolphin
Borgerskab	Bourgeoisie
Bourgogne	Bourgogne
Bouvetøen	Bouvet Island
Skedehornede	Bovid
Bue (våben)	Bow (weapon)
Bowling	Bowling
Kategori:Boksere	Boxers
Boksning	Boxing
Kategori:Boksning	Boxing
