English	Korean
Baltic Sea	발트 해
Baltimore	볼티모어
Bamako	바마코
Bamboo	대나무
Banana	바나나
Bangalore	벵갈루루
Bangkok	방콕
Bangladesh	방글라데시
Bangladesh	분류:방글라데시
Bangui	방기
Banjul	반줄
Bank	은행
Banknote	지폐
Banks	분류:은행
Baptism	세례
Baptist	침례교
Bar (unit)	바 (단위)
Barbados	바베이도스
Barbados	분류:바베이도스
Barbra Streisand	바브라 스트라이샌드
Barcelona	바르셀로나
Barcelona	분류:바르셀로나
Barents Sea	바렌츠 해
Barium	바륨
Barley	보리
Barn Swallow	제비
Barometer	기압계
Baroque	바로크
Baryon	바리온
Basalt	현무암
Base (chemistry)	염기
Baseball	야구
Baseball	분류:야구
Basel	바젤
Bash	본 어게인 셸
Basil	바질
Basiliscus	바실리스쿠스
Basilisk	바실리스크
Basketball	농구
Basketball	분류:농구
Bass guitar	베이스 기타
Basse-Normandie	바스노르망디
Basseterre	바스테르 (세인트키츠 네비스)
Bassoon	바순
Bastille	바스티유 감옥
Bat	박쥐
Baton Rouge	배턴루지
Bats	분류:박쥐
Battery (electricity)	전지
Battle of Austerlitz	아우스터리츠 전투
Battle of Britain	영국 본토 항공전
Battle of Hastings	헤이스팅스 전투
Battle of Midway	미드웨이 해전
Battle of Trafalgar	트라팔가르 해전
Battle of Waterloo	워털루 전투
Battle of the Bulge	벌지 전투
Battle of the Somme	솜므 전투
Battleship	전함
Bauhaus	바우하우스
Bauxite	보크사이트
Bavaria	바이에른 주
Bavaria	분류:바이에른 주
Bay of Bengal	벵골 만
Bay of Biscay	비스케이 만
Beach	모래톱
Beak	부리
Bear	곰
Beaufort Sea	보퍼트 해
Beaver	비버
Becquerel	베크렐
Bed	침대
Bede	베다 베네라빌리스
Bee	벌 (곤충)
Beer	맥주
Beer	분류:맥주
Beetle	딱정벌레목
Behaviorism	행동주의
Beijing	베이징
Beirut	베이루트
Belarus	벨라루스
Belarus	분류:벨라루스
Belfast	벨파스트
Belgium	벨기에
Belgium	분류:벨기에
Belgrade	베오그라드
Belisarius	벨리사리우스
Belize	벨리즈
Belize	분류:벨리즈
Bell (instrument)	종 (악기)
Bellerophon	벨레로폰
Belo Horizonte	벨루오리존치
Beluga	흰돌고래
Benelux	베네룩스
Bengal	벵골
Benin	베냉
Benin	분류:베냉
Benito Mussolini	베니토 무솔리니
Benjamin Britten	벤저민 브리튼
Benjamin Franklin	벤저민 프랭클린
Benjamin Harrison	벤저민 해리슨
Beowulf	베오울프
Bering Sea	베링 해
Bering Strait	베링 해협
Berkelium	버클륨
Berkshire	버크셔 주
Berlin	베를린
Berlin	분류:베를린
Bermuda	버뮤다
Bermuda	분류:버뮤다
Bermuda Triangle	버뮤다 삼각지대
Bernardo Bertolucci	베르나르도 베르톨루치
Berne	베른
Bernhard Riemann	베른하르트 리만
Bertolt Brecht	베르톨트 브레히트
Bertrand Russell	버트런드 러셀
Beryllium	베릴륨
Beta (letter)	Β
Beta decay	베타 붕괴
Betelgeuse	베텔게우스
Bethlehem	베들레헴
Bhutan	부탄
Bhutan	분류:부탄
Bible	성경
Bible	분류:성서
Bibliography	서지학
Bicycle	자전거
Big Bang	빅뱅
Bihar	비하르 주
Bikini	비키니
Bill Clinton	빌 클린턴
Bill Gates	빌 게이츠
Binary star	쌍성
Binoculars	쌍안경
Biochemistry	생화학
Biochemistry	분류:생화학
Biodiversity	생물다양성
Biography	전기 (문학)
Biological warfare	생물학 무기
Biology	생물학
Biology	분류:생물학
Biome	생물 군계
Biophysics	생물리학
Biotin	바이오틴
Bipolar disorder	조울증
Birch	자작나무속
Bird	새
Birmingham	버밍햄 (앨라배마 주)
Birth control	피임
Bisexuality	양성애
Bishkek	비슈케크
Bishop	주교
Bishop (chess)	비숍 (체스)
Bismarck	비즈마크 (노스다코타 주)
Bismarck (disambiguation)	비스마르크
Bismuth	비스무트
Bissau	비사우
Bit	비트
Bithynia	비티니아
Bivalvia	이매패류
Black	검정
Black Death	흑사병
Black Forest	검은숲
Black Sea	흑해
Black Stork	먹황새
Black body	흑체
Black hole	블랙홀
Black pepper	후추
Blaise Pascal	블레즈 파스칼
Blender (software)	블렌더 (소프트웨어)
Blitzkrieg	전격전
Bloemfontein	볼룸폰테인
Blog	블로그
Blood	혈액
Blood plasma	혈장
Blood pressure	혈압
Blood type	혈액형
Blood vessel	혈관
Blue	파랑
Blue Whale	대왕고래
Boar	멧돼지
Board game	보드 게임
Boat	보트
Bob Marley	밥 말리
Bobby Fischer	바비 피셔
Bodhisattva	보살
Bohemia	체히
Bohrium	보륨
Boiling point	끓는점
Boise	보이시
Bolivia	볼리비아
Bolivia	분류:볼리비아
Bollywood	볼리우드
Bologna	볼로냐
Bolshevik	볼셰비키
Bomb	폭탄
Bomber	폭격기
Bombyx mori	누에나방
Bone	뼈
Bone marrow	골수
Bonn	본
Book	책
Book of Esther	에스텔 (구약성서)
Book of Joshua	여호수아 (구약성서)
Book of Judges	판관기
Book of Mormon	몰몬경
Book of Numbers	민수기
Book of Revelation	요한 묵시록
Book of Ruth	룻기
Boolean algebra (structure)	불 대수
Bordeaux	보르도
Borneo	보르네오 섬
Boron	붕소
Bosnia and Herzegovina	보스니아 헤르체고비나
Bosnia and Herzegovina	분류:보스니아 헤르체고비나
Boson	보존 (입자)
Bosporus	보스포루스 해협
Boston	보스턴
Boston Tea Party	보스턴 차 사건
Bot	틀:봇
Botany	식물학
Botany	분류:식물학
Botswana	보츠와나
Botswana	분류:보츠와나
Bottle	병 (용기)
Bourgeoisie	부르주아
Bourgogne	부르고뉴
Bouvet Island	부베 섬
Bow (weapon)	활
Bowling	볼링
Boxers	분류:권투 선수
Boxing	복싱
Boxing	분류:권투
Boyle's law	보일의 법칙
Bracket	괄호
Brahma	브라흐마
Brahmaputra River	브라마푸트라 강
Braille	점자
Brain	뇌
Brainstorming	브레인 스토밍
Brandenburg	브란덴부르크 주
Brass	황동
Brassicaceae	십자화과
Brassiere	브래지어
Bratislava	브라티슬라바
Braunschweig	브라운슈바이크
Brazil	브라질
Brazil	분류:브라질
Brazzaville	브라자빌
Bread	빵
Breast cancer	유방암
Bremen	브레멘
Bremen (state)	브레멘 주
Bremerhaven	브레머하펜
Brest	브레스트
Bretagne	브르타뉴
Bridge	다리
Bridges	분류:다리
Bridgetown	브리지타운
Brisbane	브리즈번
British Columbia	브리티시컬럼비아 주
British Empire	대영 제국
British Isles	브리튼 제도
British Virgin Islands	영국령 버진아일랜드
British people	분류:영국 사람
Brno	브르노
Bromine	브로민
Bronze	청동
Bronze Age	청동기 시대
Brown	갈색
Brown Bear	불곰
Bruce Lee	이소룡
Bruges	브루헤
Brunei	브루나이
Brunei	분류:브루나이
Brussels	브뤼셀
Bucharest	부쿠레슈티
Buckingham Palace	버킹엄 궁전
Buckminster Fuller	벅민스터 풀러
Buckwheat	메밀
Budapest	부다페스트
Buddha	부처
Buddhism	불교
Buddhism	분류:불교
Buddy Holly	버디 홀리
Buenos Aires	부에노스아이레스
Buffalo	버펄로 (뉴욕 주)
Building	건축물
Bujumbura	부줌부라
Bulgaria	불가리아
Bulgaria	분류:불가리아
Bureaucracy	관료제
Burkina Faso	부르키나파소
Burkina Faso	분류:부르키나파소
Burma	미얀마
Burma	분류:미얀마
Burqa	부르카
Bursa	부르사
Burundi	분류:부룬디
Bus	버스
Bus (computing)	버스 (컴퓨터 구조)
Business	사업
Businesspeople	분류:기업인
Butane	뷰테인
Butter	버터
Butterfly	나비
Butterfly effect	나비 효과
Bydgoszcz	비드고슈치
Byte	바이트
Byzantine Empire	분류:비잔티움 제국
C	C
C (programming language)	C (프로그래밍 언어)
C. S. Lewis	C. S. 루이스
CD (disambiguation)	CD
CN Tower	CN 타워
COBOL	코볼
Cache	캐시
Cactus	선인장
Cadmium	카드뮴
Cadmus	카드무스
Caelum	조각칼자리
Caesium	세슘
Caffeine	카페인
Cairo	카이로
Cake	케이크
Calabria	칼라브리아 주
Calcium	칼슘
Calculus	미적분학
Caldera	칼데라
Calendar	역법
Caliber	구경 (화기)
California	캘리포니아 주
California	분류:캘리포니아 주
Californium	캘리포늄
Caligula	칼리굴라
Caliphate	칼리파
Calliope	칼리오페
Callisto (moon)	칼리스토 (위성)
Callisto (mythology)	칼리스토 (신화)
Calorie	칼로리
Calvin Coolidge	캘빈 쿨리지
Calvinism	칼뱅주의
Cambodia	캄보디아
Cambodia	분류:캄보디아
Cambrian	캄브리아기
Cambridge	케임브리지
Cambridge	케임브리지 (매사추세츠 주)
Cambridge (disambiguation)	케임브리지 (동음이의)
Camel	낙타
Camembert (cheese)	카망베르 (치즈)
Camera	사진기
Cameroon	카메룬
Cameroon	분류:카메룬
Campania	캄파니아 주
Canada	캐나다
Canada	분류:캐나다
Canadian dollar	캐나다 달러
Canal	운하
Canary Islands	카나리아 제도
Canary Islands	분류:카나리아 제도
Canberra	캔버라
Cancer	암
Cancer (constellation)	게자리
Candela	칸델라
Candle	양초
Canidae	개과
Canis Major	큰개자리
Canis Minor	작은개자리
Cannabis (drug)	대마초
Cannes	칸 (프랑스)
Canon (company)	캐논 (기업)
Canopus	카노푸스
Canterbury	캔터베리
Cantonese (linguistics)	광둥어
Canute the Great	크누트 대왕
Capacitance	전기용량
Capacitor	콘덴서
Cape Canaveral	케이프커내버럴
Cape Horn	혼 곶
Cape Town	케이프타운
Cape Verde	카보베르데
Cape Verde	분류:카보베르데
Cape of Good Hope	희망봉
Capital	수도
Capital (economics)	자본
Capital punishment	사형
Capitalism	자본주의
Cappadocia	카파도키아
Capricornus	염소자리
