English	Chinese
Belgium	比利时
Belgium	Category:比利時
Belgrade	贝尔格莱德
Belisarius	贝利撒留
Belize	伯利兹
Belize	Category:貝里斯
Bell (instrument)	鈴
Bellerophon	柏勒洛丰
Belly dance	肚皮舞
Belo Horizonte	贝洛奥里藏特
Beluga	白鲸
Benelux	比荷盧三國關稅同盟
Bengal	孟加拉
Benghazi	班加西
Benin	贝宁
Benin	Category:貝南
Benito Mussolini	贝尼托·墨索里尼
Benjamin Disraeli	本傑明·迪斯雷利
Benjamin Franklin	本傑明·富蘭克林
Benjamin Harrison	本杰明·哈里森
Beowulf	貝奧武夫
Bergen	卑爾根
Bering Sea	白令海
Bering Strait	白令海峡
Berkelium	锫
Berkshire	伯克郡
Berlin	柏林
Berlin	Category:柏林
Bermuda	百慕大
Bermuda Triangle	百慕達三角
Bernardo Bertolucci	柏納多·貝托魯奇
Berne	伯恩
Bernhard Riemann	波恩哈德·黎曼
Berry	浆果
Bertolt Brecht	贝尔托·布莱希特
Bertrand Russell	伯特兰·罗素
Beryl	綠柱石
Beryllium	铍
Beta (letter)	Β
Beta decay	Β衰变
Betelgeuse	參宿四
Bethlehem	伯利恆
Bette Davis	贝蒂·戴维斯
Bey	贝伊
Bhutan	不丹
Bhutan	Category:不丹
Bible	聖經
Bible	Category:圣经
Bibliography	目录学
Bicycle	自行車
Big Bang	大爆炸理论
Bihar	比哈尔邦
Bikini	比基尼泳衣
Bile	胆汁
Bill Clinton	比尔·克林顿
Bill Gates	比尔·盖茨
Billy Wilder	比利·懷德
Binary star	聯星
Binoculars	双筒望远镜
Biochemistry	生物化学
Biochemistry	Category:生物化学
Biodiversity	生物多樣性
Biogeography	生物地理学
Biography	傳記
Biography	Portal:人物
Biological warfare	生物武器
Biology	生物学
Biology	Category:生物学
Biology	Portal:生物学
Biomass	生物质能
Biometrics	生物测定学
Biophysics	生物物理学
Biopsy	活體組織切片
Biosphere	生物圈
Biotechnology	生物技术
Biotechnology	Category:生物技術
Biotin	生物素
Bipolar disorder	躁鬱症
Birch	桦树
Bird	鸟
Birmingham	伯明翰 (亚拉巴马州)
Birth control	生育控制
Bisexuality	双性恋
Bishkek	比什凯克
Bishop	主教
Bishop (chess)	象 (國際象棋)
Bismarck	俾斯麥 (北達科塔州)
Bismarck (disambiguation)	俾斯麦 (消歧义)
Bismuth	铋
Bissau	比绍
Bit	位元
Bithynia	比提尼亞
Bivalvia	双壳纲
Black	黑色
Black Death	黑死病
Black Forest	黑森林
Black Kite	黑鸢
Black Sea	黑海
Black Stork	黑鹳
Black body	黑体 (热力学)
Black hole	黑洞
Black pepper	黑胡椒
Blackbird	黑鶇
Blaise Pascal	布莱士·帕斯卡
Blender (software)	Blender
Blindness	失明
Blitzkrieg	闪电战
Bloemfontein	布隆方丹
Blog	網誌
Blood	血液
Blood plasma	血浆
Blood pressure	血壓
Blood type	血型
Blood vessel	血管
Blue	藍色
Blue Whale	蓝鲸
Blues	藍調
Boar	野豬
Board game	棋盘游戏
Boat	艇
Bob Dylan	鲍勃·迪伦
Bob Marley	巴布·馬利
Bobby Fischer	鮑比·菲舍爾
Bobsleigh	有舵雪橇
Bodhisattva	菩萨
Body mass index	身高體重指數
Bodybuilding	健身
Bohemia	波希米亚
Bohrium	𨨏
Boiling point	沸点
Boise	博伊西
Bolivia	玻利維亞
Bolivia	Category:玻利维亚
Bollywood	宝莱坞
Bologna	博洛尼亚
Bolshevik	布尔什维克
Bolzano	波尔查诺
Bomb	炸弹
Bomber	轰炸机
Bombyx mori	蚕
Bond (finance)	债券
Bone	骨骼
Bone marrow	骨髓
Bonn	波恩
Bonsai	盆景
Book	图书
Book of Esther	以斯帖記
Book of Joshua	約書亞記
Book of Judges	士師記
Book of Mormon	摩門經
Book of Numbers	民数记
Book of Revelation	启示录
Book of Ruth	路得記
Boolean algebra (structure)	布尔代数
Boomerang	飞去来器
Bordeaux	波尔多
Boris Godunov	鲍里斯·戈东诺夫
Boris Pasternak	鮑里斯·帕斯捷爾納克
Borneo	婆罗洲
Boron	硼
Bosnia and Herzegovina	波斯尼亚和黑塞哥维那
