Finnish	English
Arkeeinen eoni	Archean
Arkkityyppi	Archetype
Arkhimedes	Archimedes
Saaristo	Archipelago
Arkkitehti	Architect
Arkkitehtuuri	Architecture
Luokka:Arkkitehtuuri	Architecture
Arkisto	Archive
Arkosaurit	Archosaur
Arktinen alue	Arctic
Napapiiri	Arctic Circle
Pohjoinen jäämeri	Arctic Ocean
Naali	Arctic fox
Ardennit	Ardennes
Ardennes	Ardennes (department)
Aari (yksikkö)	Are
Pinta-ala	Area
Palmukasvit	Arecaceae
Ares	Ares
Argentiina	Argentina
Luokka:Argentiina	Argentina
Argon	Argon
Argos (kaupunki)	Argos
Aaria	Aria
Ariadne	Ariadne
Areiolaisuus	Arianism
Oinas	Aries (constellation)
Aristarkhos	Aristarchus of Samos
Aristokratia	Aristocracy
Aristofanes	Aristophanes
Aristoteles	Aristotle
Aritmetiikka	Arithmetic
Luokka:Aritmetiikka	Arithmetic
Aritmeettinen sarja	Arithmetic progression
Areios	Arius
Arizona	Arizona
Luokka:Arizona	Arizona
Liitonarkku	Ark of the Covenant
Arkansas	Arkansas
Luokka:Arkansas	Arkansas
Arles	Arles
Vyötiäiset	Armadillo
Armenia	Armenia
Luokka:Armenia	Armenia
Armenian kieli	Armenian language
Arminius	Arminius
Haarniska	Armour
Maavoimat	Army
Arnhem	Arnhem
Arno (joki)	Arno River
Arnold Schönberg	Arnold Schoenberg
Aromaattinen hiilivety	Aromatic hydrocarbon
Hakapyssy	Arquebus
Arras	Arras
Nuoli	Arrow
Arseeni	Arsenic
Taide	Art
Art Deco	Art Deco
Jugend	Art Nouveau
Luokka:Taidehistoria	Art history
Taidehistoria	Art history
Artemis	Artemis
Marunat	Artemisia (plant)
Koiruoho	Artemisia absinthium
Valtimo (anatomia)	Artery
Niveltulehdus	Arthritis
Niveljalkaiset	Arthropod
Arthur H. Compton	Arthur Compton
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Arthur Rimbaud	Arthur Rimbaud
Arthur Schopenhauer	Arthur Schopenhauer
Arthur Wellesley	Arthur Wellesley
Tekoäly	Artificial intelligence
Luokka:Tekoäly	Artificial intelligence
Tykistö	Artillery
Luokka:Tykistö	Artillery
Taiteilija	Artist
Luokka:Taide	Arts
Arturo Toscanini	Arturo Toscanini
Aruba	Aruba
Luokka:Aruba	Aruba
Asbesti	Asbestos
Asklepios	Asclepius
