Urdu	English
جالینوس	Galen
جمال عبدالناصر	Gamal Abdel Nasser
گنیش	Ganesha
دریائے گنگا	Ganges
لہسن	Garlic
گوتم بدھ	Gautama Buddha
جواہرات	Gemstone
وراثہ	Gene
منصبِ جامع	General Officer
وراثیات	Genetics
جنیوا	Geneva
جن	Genie
جنس	Genus
چاسر	Geoffrey Chaucer
جغرافيہ	Geography
زمرہ:جغرافیہ	Geography
باب:جغرافیہ	Geography
ارضیات	Geology
ہندسہ	Geometry
جیو پالیٹکس	Geopolitics
جارج اورول	George Orwell
جارج ڈبلیو بش	George W. Bush
ریاست جارجیا	Georgia (U.S. state)
جارجیا	Georgia (country)
جیرالڈ فورڈ	Gerald Ford
جرمن زبان	German language
جرمانیئم	Germanium
جرمنی	Germany
زمرہ:جرمنی	Germany
گھانا	Ghana
گیوردانو برونو	Giordano Bruno
بوکاچیو	Giovanni Boccaccio
گیریبالڈی	Giuseppe Garibaldi
شیشہ	Glass
سونا	Gold
گولف	Golf
گوگل	Google
انجیل	Gospel
گرام	Gram
غرناطہ	Granada
مخطط صارفی سطح البین	Graphical user interface
کششِ ثقل	Gravitation
دیوار چین	Great Wall of China
عاد اعظم	Greatest common divisor
یونان	Greece
زمرہ:یونان	Greece
سبز	Green
مرکزی یورپی وقت	Greenwich Mean Time
خام ملکی پیداوار	Gross domestic product
گروہ (دوری جدول)	Group (periodic table)
مارکونی	Guglielmo Marconi
جمہوریہ گنی	Guinea
گنی بساؤ	Guinea-Bissau
بھارتی گجرات	Gujarat
خلیج عدن	Gulf of Aden
خلیج عمان	Gulf of Oman
وراۓمتن زبان تدوین	HTML
ثقیلہ	Hadron
انس الدم	Haemophilia
ایاصوفیہ	Hagia Sophia
ہیٹی	Haiti
حج	Hajj
خطاۓ حس	Hallucination
حماس	Hamas
حمورابی	Hammurabi
کرسچن اینڈرسن	Hans Christian Andersen
ہوائی	Hawaii
صحت	Health
قلب	Heart
حمریچہ	Hemoglobin
بواسیر	Hemorrhoid
ہنری برگساں	Henri Bergson
ہنرک ابسن	Henrik Ibsen
ہنری جیمز	Henry James
الکحولی التہاب جگر	Hepatitis
ہرٹز	Hertz
ہندو مت	Hinduism
بقراط	Hippocrates
دریائی گھوڑا	Hippopotamus
ہسپانیولا	Hispaniola
تاريخ	History
زمرہ:تاریخ	History
مقدس رومی سلطنت	Holy Roman Empire
معالجہ المثلیہ	Homeopathy
استتباط	Homeostasis
حقہ	Hookah
Hormone	Hormone
گھنٹہ	Hour
انسان	Human
ہنگری	Hungary
حیدر آباد دکن	Hyderabad
آبگر	Hydrogen
آئس لینڈ	Iceland
اسماکیات	Ichthyology
ایڈاہو	Idaho
شناخت میٹرکس	Identity matrix
اگوازو آبشار	Iguazu Falls
الینوائے	Illinois
کانٹ	Immanuel Kant
تاثریت	Impressionism
بھارت	India
زمرہ:ہندوستان	India
بحر ہند	Indian Ocean
انڈیانا	Indiana
انڈیاناپولس، انڈیانا	Indianapolis
اندرا گاندھی	Indira Gandhi
انڈونیشیا	Indonesia
دریائے سندھ	Indus River
التہاب	Inflammation
انگمار برگمان	Ingmar Bergman
صحیح عدد	Integer
ذکاء	Intelligence
بین الاقوامی مالیاتی فنڈ	International Monetary Fund
شبکہ	Internet
بیگار کیمپ	Internment
آئون	Ion
آئیووا	Iowa
ایران	Iran
زمرہ:ایران	Iran
ایران عراق جنگ	Iran-Iraq War
عراق	Iraq
زمرہ:عراق	Iraq
اسماعیل علیہ السلام	Ishmael
آئسز	Isis
اسلام	Islam
زمرہ:اسلام	Islam
اسلام آباد	Islamabad
اسلامی تقویم	Islamic calendar
آئل آف مین	Isle of Man
اسرائیل	Israel
استنبول	Istanbul
جزیرہ نما اٹلی	Italian Peninsula
اطالیہ	Italy
زمرہ:اٹلی	Italy
ایوان ترگنیف	Ivan Turgenev
جین مت	Jainism
جمیکا	Jamaica
جیمز جوائس	James Joyce
جموں و کشمیر	Jammu and Kashmir
ینی چری	Janissary
جنوری	January
1 جنوری	January 1
19 جنوری	January 19
20 جنوری	January 20
6 جنوری	January 6
جاپان	Japan
جاز	Jazz
روسو	Jean-Jacques Rousseau
ژاں پال سارتر	Jean-Paul Sartre
جدہ	Jeddah
بیت المقدس	Jerusalem
عیسیٰ علیہ السلام	Jesus
یہودی	Jew
جہاد	Jihad
جمی کارٹر	Jimmy Carter
جون آف آرک	Joan of Arc
جوہن باخ	Johann Sebastian Bach
کپلر	Johannes Kepler
