English	Esperanto
Balance sheet	Bilanco
Baldr	Baldr
Balearic Islands	Balearoj
Bali	Balio
Balkan Wars	Balkanaj militoj
Balkans	Balkana duoninsulo
Ball	Pilko
Ballet	Baleto
Ballpoint pen	Globkrajono
Baltic Sea	Balta Maro
Baltimore	Baltimore (Marilando)
Bamako	Bamako
Bamboo	Bambuo
Banana	Banano
Bangalore	Bengaluro
Bangkok	Bangkok
Bangladesh	Bangladeŝo
Bangladesh	Kategorio:Bangladeŝo
Bangui	Bangui
Banjul	Banĵulo
Bank	Banko
Banknote	Monbileto
Banks	Kategorio:Bankoj
Baptism	Bapto
Baptist	Baptismo
Bar (unit)	Baro
Barbados	Barbado
Barbados	Kategorio:Barbado
Barbarian	Barbaroj
Barbra Streisand	Barbra Streisand
Barcelona	Barcelono
Barents Sea	Barenca Maro
Bari	Bari
Barium	Bario
Barley	Hordeo
Barn Owl	Turstrigo
Barn Swallow	Domhirundo
Baron	Barono
Baroque	Baroko
Baryon	Bariono
Basalt	Bazalto
Base (chemistry)	Bazo (kemio)
Baseball	Basbalo
Baseball	Kategorio:Basbalo
Basel	Bazelo (urbo)
Bash	Bash
Basidiomycota	Bazidiomicetoj
Basil	Bazilio
Basil of Caesarea	Sankta Bazilo
Basilica	Baziliko
Basilicata	Basilikato
Basilisk	Bazilisko (mitologio)
Basketball	Korbopilkado
Basra	Basra
Bass guitar	Basgitaro
Basse-Normandie	Malsupra Normandio
Basseterre	Basseterre
Bassoon	Fagoto
Bastille	Bastille
Bat	Kiropteroj
Bath	Bath
Batman	Batman
Baton Rouge	Baton Rouge (Luiziano)
Battalion	Bataliono
Battery (electricity)	Baterio
Battle of Austerlitz	Batalo ĉe Slavkov
Battle of Hastings	Batalo apud Hastings
Battle of Trafalgar	Batalo de Trafalgar
Battle of Waterloo	Batalo de Waterloo
Battle of the Somme	Batalo ĉe la Somme
Bauhaus	Bauhaus
Bauxite	Baŭksito
Bavaria	Bavario
Bavaria	Kategorio:Bavario
Bay Laurel	Nobla laŭro
Bay of Bengal	Bengala Golfo
Bay of Biscay	Biskaja Golfo
Bayer	Bayer AG
Bayonet	Bajoneto
Bayonne	Bajono
Beach	Strando
Beagle	Biglo
Beak	Beko
Bear	Urso
Beaufort scale	Boforta skalo
Beaver	Kastoro
Becquerel	Bekerelo
Bed	Lito
Bedouin	Beduenoj
Bee	Abelo
Beech	Fago
Beekeeping	Kategorio:Abelkulturo
Beer	Biero
Beer	Kategorio:Biero
Beetle	Koleopteroj
Behaviorism	Kondutismo
Beijing	Pekino
Beirut	Bejruto
Belarus	Belorusio
Belarus	Kategorio:Belorusio
Belfast	Belfasto
Belgium	Belgio
Belgium	Kategorio:Belgio
Belgrade	Beogrado
Belize	Belizo
Belize	Kategorio:Belizo
Bell (instrument)	Sonorilo
Belly dance	Ventra danco
Belo Horizonte	Belo Horizonte
Beluga	Belugo
Benelux	Benelukso
Bengal	Bengalio
Benin	Benino
Benin	Kategorio:Benino
Benito Mussolini	Benito Mussolini
Benjamin Britten	Benjamin Britten
Benjamin Disraeli	Benjamin Disraeli
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Benny Goodman	Benny Goodman
Beowulf	Beowulf
Bergen	Bergen (Norvegio)
Bering Sea	Beringa Maro
Bering Strait	Beringa Markolo
Berkelium	Berkelio
Berkshire	Berkshire
Berlin	Berlino
Berlin	Kategorio:Berlino
Bermuda	Bermudo
Bermuda	Kategorio:Bermudo
Bermuda Triangle	Bermuda triangulo
Berne	Berno
Bernhard Riemann	Bernhard Riemann
Berry	Bero
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Beryllium	Berilio
Beta (letter)	Beto (litero)
Betelgeuse	Betelĝuzo
Bethlehem	Bet-Leĥem
Bette Davis	Bette Davis
Beverly Hills	Beverly Hills
Bhutan	Butano
Bhutan	Kategorio:Butano
Bible	Biblio
Bible	Kategorio:Biblio
Bibliography	Bibliografio
Bicycle	Biciklo
Big Bang	Praeksplodo
Bihar	Biharo
Bikini	Bikino
Bile	Galo
Bill Clinton	William J. Clinton
Bill Gates	Bill Gates
Billy Wilder	Billy Wilder
Binoculars	Lorno
Biochemistry	Biokemio
Biochemistry	Kategorio:Biokemio
Biodiversity	Biodiverseco
Biogeography	Biogeografio
Biography	Biografio
Biography	Portalo:Homoj
Biological warfare	Biologia armilo
Biology	Biologio
Biology	Kategorio:Biologio
Biomass	Biomaso
Biometrics	Biometrio
Biophysics	Biofiziko
Biotechnology	Biotekniko
Biotechnology	Kategorio:Biotekniko
Birch	Betulo
Bird	Birdoj
Birmingham	Birmingham (Alabamo)
Birth control	Kontraŭkoncipilo
Bisexuality	Ambaŭseksemo
Bishkek	Biŝkeko
Bishop	Episkopo
Bishop (chess)	Kuriero (ŝako)
Bismarck	Bismarck (Norda Dakoto)
Bismarck (disambiguation)	Bismarck
Bismuth	Bismuto
Bissau	Bisaŭo
Bit	Bito
Bithynia	Bitinio
Black	Nigro
Black Death	Nigra morto
Black Forest	Nigra Arbaro
Black Kite	Nigra milvo
Black Sea	Nigra Maro
Black Stork	Nigra cikonio
Black body	Nigra korpo
Black hole	Nigra truo
Black pepper	Nigra pipro
Blackbird	Merlo
Blaise Pascal	Blaise Pascal
Blender (software)	Blender (programo)
Blindness	Blindeco
Blitzkrieg	Fulmomilito
Bloemfontein	Bloemfontein
Blog	Blogo
Blood	Sango
Blue	Blua
Blues	Bluso
Boar	Apro
Board game	Tabulludo
Boat	Boato
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
