German	English
Bier	Beer
Kategorie:Bier	Beer
Käfer	Beetle
Behaviorismus	Behaviorism
Peking	Beijing
Beirut	Beirut
Weißrussland	Belarus
Kategorie:Weißrussland	Belarus
Belfast	Belfast
Belgien	Belgium
Kategorie:Belgien	Belgium
Belgrad	Belgrade
Belisar	Belisarius
Belize	Belize
Kategorie:Belize	Belize
Glocke	Bell (instrument)
Bellerophon	Bellerophon
Orientalischer Tanz	Belly dance
Belo Horizonte	Belo Horizonte
Weißwal	Beluga
Benelux	Benelux
Bengalen	Bengal
Banghazi	Benghazi
Benin	Benin
Kategorie:Benin	Benin
Benito Mussolini	Benito Mussolini
Benjamin Britten	Benjamin Britten
Benjamin Disraeli	Benjamin Disraeli
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Benny Goodman	Benny Goodman
Beowulf	Beowulf
Bergen (Norwegen)	Bergen
Beringmeer	Bering Sea
Beringstraße	Bering Strait
Berkelium	Berkelium
Berkshire	Berkshire
Berlin	Berlin
Kategorie:Berlin	Berlin
Bermuda	Bermuda
Kategorie:Bermuda	Bermuda
Bermudadreieck	Bermuda Triangle
Bernardo Bertolucci	Bernardo Bertolucci
Bern	Berne
Bernhard Riemann	Bernhard Riemann
Beere	Berry
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Beryll	Beryl
Beryllium	Beryllium
Beta	Beta (letter)
Betazerfall	Beta decay
Beteigeuze	Betelgeuse
Betlehem	Bethlehem
Bette Davis	Bette Davis
Beverly Hills	Beverly Hills
Bey (Titel)	Bey
Bhutan	Bhutan
Kategorie:Bhutan	Bhutan
Bibel	Bible
Kategorie:Bibel	Bible
Bibliografie	Bibliography
Fahrrad	Bicycle
Urknall	Big Bang
Bihar	Bihar
Bikini	Bikini
Galle	Bile
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Billy Wilder	Billy Wilder
Doppelstern	Binary star
Prismenfernglas	Binoculars
Biochemie	Biochemistry
