English	Breton
Flag	Banniel
Flanders	Flandrez
Flea	C'hwen
Flemish (linguistics)	Flandrezeg
Florence	Firenze
Florida	Florida
Fluorite	Fluorit
Folklore	Folklor
Football (soccer)	Mell-droad
Football (soccer)	Rummad:Mell-droad
Fortification	Kreñvlec'h
Fox	Louarn
France	Bro-C'hall
France	Rummad:Frañs
Francis Drake	Francis Drake
Francis of Assisi	Frañsez a Asiz
Franciscan	Urzh ar Vreudeur minor
Francisco Goya	Francisco de Goya
Frank Lloyd Wright	Frank Lloyd Wright
Frankfurt	Frankfurt am Main
Frankfurt (Oder)	Frankfurt (Oder)
Frankfurt (disambiguation)	Frankfurt
Frans Hals	Frans Hals
Franz Kafka	Franz Kafka
Franz Schubert	Franz Schubert
Freetown	Freetown
French Revolution	Dispac'h Gall
Friday	Gwener (deiz)
Friedrich Engels	Friedrich Engels
Friesland	Friz
Fritz Haber	Fritz Haber
Friuli-Venezia Giulia	Friuli-Venezia Giulia
Fundamental	Rummad:Rummad pennañ
Furniture	Arrebeuri
Fyodor Dostoevsky	Fyodor Dostoyevskiy
G	G (lizherenn)
Gabon	Gabon
Gabon	Rummad:Gabon
Gaborone	Gaborone
Gaia (mythology)	Gaia (doueez)
Galatia	Galatia
Galaxy	Galaksienn
Galicia (Central Europe)	Galitsia
Galicia (Spain)	Galiza
Galileo Galilei	Galileo Galilei
Galway	Gaillimh
Game	C'hoarioù
Gamma	Gamma (lizherenn)
Ganges	Ganga
Ganymede (moon)	Ganymede (loarenn)
Gap	Gap
Garonne	Garona
Gaul	Galia
Gay	Gae
Geb	Geb
Geisha	Geisha
Genealogy	Lignezouriezh
General relativity	Relativelezh hollek
Genesis	Geneliezh
Genoa	Genova
Genocide	Gouennlazh
Genus	Genad
Geoffrey Chaucer	Geoffrey Chaucer
Geography	Douaroniezh
Geology	Douarouriezh
Geometry	Mentoniezh
Geomorphology	Rummad:Geomorfologiezh
Geophysics	Geofizik
Geopolitics	Douarbolitikerezh
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Frideric Handel	Georg Friedrich Händel
George Lucas	George Lucas
George Marshall	George Marshall
George Orwell	George Orwell
George Sand	George Sand
George W. Bush	George Walker Bush
George Washington	George Washington
Georges Simenon	Georges Simenon
Georgia (U.S. state)	Georgia
Georgia (country)	Jorjia (bro)
Georgia (country)	Rummad:Jorjia
German language	Alamaneg
Germany	Alamagn
Germany	Rummad:Alamagn
Ghana	Ghana
Ghent	Gent
Ghetto	Ghetto
Giacomo Puccini	Giacomo Puccini
Gibraltar	Jibraltar
Giordano Bruno	Giordano Bruno
Giorgio Vasari	Giorgio Vasari
Giotto di Bondone	Giotto
Giovanni Boccaccio	Giovanni Boccaccio
Girolamo Savonarola	Girolamo Savonarola
Gironde	Jironda
Giuseppe Verdi	Giuseppe Verdi
Giza	Gizah
Glasgow	Glasc'ho
Gloucestershire	Gloucestershire
Go (board game)	Go (c'hoari)
Goat	Gavr (loen)
God	Doue
Googol	Gogol
Gospel	Aviel
Gospel of Luke	Aviel Lukaz
Gothenburg	Göteborg
Gothic architecture	Arkitektouriezh c'hotek
Grace Kelly	Grace Kelly
Grammar	Yezhadur
Grammar	Rummad:Yezhadur
Gravitation	Gravitadur
Gray Wolf	Bleiz gris
Graz	Graz
Great Wall of China	Moger Vras Sina
Greece	Gres (bro)
Greece	Rummad:Gres
Greek alphabet	Lizherenneg c'hresianek
Greek mythology	Rummad:Mojennoù Hellaz
Greenland	Greunland
Gregor Mendel	Gregor Mendel
Gregorian calendar	Deiziadur gregorian
Guadeloupe	Gwadaloup
Guatemala City	Ciudad de Guatemala
Guernsey	Gwernenez
Guinea	Ginea
Guinea	Rummad:Ginea
Guinea-Bissau	Ginea-Bissau
Gulf of Aden	Pleg-mor Aden
Gulf of Bothnia	Pleg-mor Botnia
Gulf of Finland	Pleg-mor Finland
Gulf of Guinea	Pleg-mor Ginea
Gulf of Riga	Pleg-mor Riga
Gull	Gouelan
Gustav Klimt	Gustav Klimt
Gustav Mahler	Gustav Mahler
Gustave Courbet	Gustave Courbet
H	H (lizherenn)
HTML	HTML
Hadean	Hadean
Hades	Haides
Hadith	Hadith
Hadrian's Wall	Moger Hadrian
Hail Mary	Ave Maria
Haiti	Republik Haiti
Haiti	Rummad:Haiti
Hamas	Hamas
Hamburg	Hamburg
Hampshire	Hampshire
Han Dynasty	Tierniezh Han
Hanging Gardens of Babylon	Liorzhoù a-istribilh Babilon
Hannah Arendt	Hannah Arendt
Hannibal	Hannibal
Harare	Harare
Harp	Telenn
Harpy	Harpied
Hatred	Kasoni
Haute-Normandie	Normandi-Uhel
Havana	La Habana
Hawaii	Hawaii
Head	Penn
Health	Yec'hed
Hebrew alphabet	Lizherenneg hebraek
Hebrew calendar	Deiziadur hebraek
Hebrides	Inizi Gall
Hecate	Hekate
Hectare	Hektar
Hector Berlioz	Louis Hector Berlioz
Heinrich Himmler	Heinrich Himmler
Helen	Elena
Helios	Helios
Helium	Heliom
Hell	Ifern
Helsinki	Helsinki
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henry Ford	Henry Ford
Hephaestus	Hefaistos
Hera	Hera
Heraldry	Ardamezouriezh
Herbert Hoover	Herbert C. Hoover
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Hermaphrodite	Divreizhadezh
Hermes	Hermes
Hero	Haroz
Herod the Great	Herodez Veur
Herodotus	Herodotos
Herring Gull	Gouelan gris
Hertz	Hertz
Hesiod	Hesiodos
Hesperides	Hesperidezed
Hesse	Hessen
Hesse	Rummad:Hessen
Hestia	Hestia
Heterosexuality	Arallrevelezh
Hexadecimal	Diazez c'hwezekred
Hezbollah	Hezbollah
Hideki Yukawa	Hideki Yukawa
Hieronymus Bosch	Hieronymus Bosch
Hippocrates	Hippokrates
Hiroshima	Hiroshima
History	Istor
History	Rummad:Istor
History	Porched:Istor
Ho Chi Minh	Hồ Chí Minh
Hollywood	Hollywood
Holocene	Holosen
Holy Roman Empire	Impalaeriezh santel roman german
Homer	Homeros
Homophobia	Homofobiezh
Homosexuality	Heñvelrevelezh
Honduras	Honduras
Honey	Mel
Hong Kong	Hong Kong
Honolulu	Honolulu, Hawaii
