Slovenian	English
gibanje zraka	air movement
onesnaževalo zraka	air pollutant
onesnaženje zraka	air pollution
kakovost zraka	air quality
spremljanje kakovosti zraka	air quality control
ukrepi za varstvo zraka	air quality management
monitoring kakovosti zraka	air quality monitoring
alveol, pljučni mešiček ; alveol ; pljučni mešiček	air sac ; alveolus
ukrepi za varnost v zraku	air safety
temperatura zraka	air temperature
zračni promet	air traffic
zakon o zračnem prometu	air traffic law
zračni prevoz/transport ; zračni prevoz ; zračni transport	air transportation
interakcija zrak-voda	air-water interaction
hrup gibanja zraka	airborne noise
zračno plovilo	aircraft
letalski hrup	aircraft noise
letalska pošta	airmail
letališče	airport
načrtovanje zračnega prometa	airspace planning
preplah, alarm ; preplah ; alarm	alarm ; alert ; warning
albinizem	albinism
alkimist	alchemist
alkimija	alchemy
alkohol	alcohol
alkoholizem	alcoholism
alga	alga
cvetenje alg	algal bloom
algicid ; uničevalec alg	algicide ; algaecide
alibi	alibi
aliciklična spojina	alicyclic compound
aliciklični ogljikovodik	alicyclic hydrocarbon
trasa	alignment
alifatska spojina	aliphatic compound
alifatski ogljikovodik	aliphatic hydrocarbon
alkalna tla	alkali soil
alkalijske kovine ; element 1. skupine	alkaline ; element of group I ; alkaline metal ; alkali metal
alkalna baterija	alkaline battery
alkan	alkane ; paraffin ; methane series ; alkane series
alkilna spojina	alkyl compound
terensko vozilo	all-terrain vehicle
alergen ; dražilo	allergen
alergija	allergy
dodelitev, razporeditev, razporejanje ; dodelitev ; razporeditev ; razporejanje	allocation ; allotment ; resource allotment
načrt uravnoteženosti potreb in naravnih virov, bilanca	allocation plan
alotropia	allotropy
dodatek/nadomestilo za stroške	allowance
zlitina	alloy
aluvialna ravnica	alluvial plain
poplava	alluvion ; flood ; overflowing ; inundation
almanah	almanac
skoraj	almost
sevanje alfa	alpha radiation
abecéda	alphabet
alternativni/nadomestni material	alternative material
alternativna/nadomestna tehnologija	alternative technology
nadmorska višina	altitude
aluminijev oksid, boksit	alumina
aluminij	aluminium
aluminijast zabojnik	aluminium container
vsebnost aluminija	aluminium content
industrija aluminija	aluminium industry
amalgam	amalgam
jantar	amber
americij	americium
ametist	amethyst
amin	amine
aminokislina	amino acid
amoniak	ammonia
amonifikacija	ammonification
amonij	ammonium
dvoživke (Amphibia) ; dvoživke	amphibian
amfiteater	amphitheatre
zabaviščni park	amusement park
anaerobni proces	anaerobic process
anaerobno čiščenje	anaerobic treatment
anagram	anagram
analogija	analogy
analiza	analysis
program analize	analysis programme
analitična kemija	analytical chemistry
analitična oprema	analytical equipment
analitična metoda	analytical method
anarhizem	anarchism
anatomija	anatomy
cvetnica ; kritosemenke (Angiospermae) ; kritosemenke	angiosperm ; flowering plant
ribarjenje (na trnek) ; ribarjenje na trnek ; ribarjenje	angling ; fishing ; line-fishing
žival	animal
vedenje živali	animal behaviour
biologija živali	animal biology
živalski rezervat	animal conservatory
živalski koridor	animal corridor
škoda, ki jo povzročijo živali	animal damage
bolezen živali	animal disease
gibanje živali	animal displacement
ekologija živali	animal ecology
živalski iztrebek	animal excrement
poskus na živali	animal experiment
živalska hrana, krmilo	animal foodstuff
klavna živina	animal for slaughter
živalski habitat	animal habitat
živalska dediščina	animal heritage
vzreja živali	animal husbandry
hlevski gnoj	animal manure
selitev/migracija živali	animal migration
hrup živali	animal noise
prehrana/prehranjevanje živali	animal nutrition
fiziologija živali	animal physiology
živalska populacija	animal population
proizvod živalskega izvora	animal product
živinorejska proizvodnja	animal production
varstvo živali	animal protection
razmnoževanje živali	animal reproduction
živalski vir	animal resource
pravice živali	animal rights
zavetišče za živali	animal shelter
živalska vrsta	animal species
ponovna naselitev živalskih vrst	animal species reintroduction
trgovina z živalmi	animal trade
živalski odpadki	animal waste
anime	anime
anion	anion
janež	anise
gleženj	ankle ; talocrural joint
kolobarniki (Annelida) ; kolobarniki	annelid
obletnica	anniversary
mravlja	ant
antagonizem (nasprotno delovanje) ; antagonizem	antagonism
antilopa	antelope
človekova dejavnost	anthropic activity
antropološki rezervat ; antropološko zavarovano območje	anthropologic reserve
antibiotik	antibiotic
protitelo	antibody
varstvo pred nesrečami	anticipation of danger
sredstvo proti obraščanju	antifouling agent
antimon	antimony
finančni inštrumenti za zmanjševanje onesnaževanja	antipollution incentive
zastarel obrat	antiquated plant
protipotresni predpis	antiseismic regulation
antonim	antonym
vedno ; zmeraj	anytime
apartheid	apartheid
stanovanjski blok	apartment block
čebelarstvo	apiculture ; beekeeping
apoptoza	apoptosis
pritožba, priziv ; pritožba ; priziv	appeal
pritožbeni/prizivni postopek	appeal procedure
aplikativna/uporabna ekologija	applied ecology
aplikativna/uporabna prehrana	applied nutrition
aplikativna raziskava	applied research
aplikativna/uporabna znanost	applied science
ocenitev, ocena, cenitev	appraisal
dostop ; pristop ; vstop	approach
ustrezna tehnologija	appropriate technology
odobritev ; odobritev, potrditev ; potrditev	approval ; approbation
gradbeno dovoljenje	approval of installations
marelica	apricot
akvakultura	aquaculture
akvamarinas	aquamarine
akvarij	aquarium
vodna žival	aquatic animal
vodna ekologija	aquatic ecology
vodni ekosistem	aquatic ecosystem
vodno okolje	aquatic environment
vodni sesalec	aquatic mammal
vodni organizem	aquatic organism
vodna rastlina	aquatic plant
akvedukt	aqueduct
vodonosnik	aquifer
poljedelstvo	arable farming
arboretum	arboretum
arborikultura, gojenje dreves ; arborikultura ; gojenje dreves	arboriculture
arheološki	archaeological
arheološko najdišče	archaeological site
arheologija	archaeology ; archeology ; archæology
otočje, arhipelag ; otočje ; arhipelag	archipelago
arhitektura	architecture
potencialno onesnaženo območje	area of potential pollution
preobremenjeno območje	area under stress
argon	argon
sušno območje	arid land
aristokracija	aristocracy
oborožitev ; vojna oprema	armament
sprememba oborožitve/vojaške opreme	armament conversion
oborožene sile	armed forces
orožarna	armoury
pazduha	armpit
aromatična spojina	aromatic compound
aromatični ogljikovodik	aromatic hydrocarbon
aromatična snov	aromatic substance
prilagajati ; adaptirati	arrange ; adapt ; adjust ; conform ; accommodate ; suit
plačilo za rabljeno embalažo	arrangement for a deposit on packaging
konica puščice	arrowhead
arzen	arsenic
požig	arson
umetnost	art
arterija	artery
prekanjen	artful
členonožci (Arthropoda) ; členonožci	arthropod
umetno jezero	artificial lake
postopek umetne reprodukcije	artificial reproductive technique
umetni satelit	artificial satellite
azbest	asbestos
azbestna malta	asbestos cement
azbestoza	asbestosis
vpliv	ascendancy
vzpon	ascent
ugotoviti	ascertain
askéta	ascetic
pepel	ash
sram	ashamed
prsten	ashen
na obalo	ashore
pepelnik	ashtray
speč	asleep
asfalt	asphalt
stremljenje	aspiration
vrah ; morilec	assassin ; assassinator
določitev kemične sestave snovi	assay
zbrati	assemble ; get together ; gather
privolitev	assent
odobriti	assent
trditi	assert
terjati	assert
samozavesten	assertive
naloga	assignment
vsrkati	assimilate
asimilacija	assimilation
asistirati	assist
zveza, združenje	association
raznovrsten	assorted
astat	astatine
zvezdica	asterisk
asteroid	asteroid
astenosfera	asthenosphere
presenetiti	astonish
presenetljiv	astonishing
začudenje	astonishment
osupniti	astound
okobal	astride
v razkoraku	astride
astrologija	astrology ; star divination
astrometrija	astrometry
astronavtika	astronautics
astronomija	astronomy
asimetrično	asymmetric ; asymmetrical
asimptota	asymptote
ateist	atheist
atlas	atlas
ozračje, atmosfera ; ozračje ; atmosfera	atmosphere
atmosferski aerosol	atmospheric aerosol
atmosferska kemija	atmospheric chemistry
kroženje zraka	atmospheric circulation
sestavina zraka	atmospheric component
kemična sestava zraka	atmospheric composition
atmosferski popravek	atmospheric correction
emisije v zrak	atmospheric emission
usedanje prašnih delcev	atmospheric fallout
plasti ozračja	atmospheric layering
monitoring ozračja, spremljanje stanja v ozračju	atmospheric monitoring
atmosferski ozon	atmospheric ozone
lebdeči delci	atmospheric particulate
atmosferska fizika	atmospheric physics
onesnaženje zraka	atmospheric pollution
padavine	atmospheric precipitation ; precipitation
proces v ozračju	atmospheric process
vede o ozračju (meteorologija, klimatologija)	atmospheric science
plasti ozračja	atmospheric structure
atol	atoll
privlačen	atractive
atrazin	atrazine
grozota	atrocity
navezan	attached
navezanost	attachment
priključek	attachment
napad	attack
doseči	attain
skrbeti za	attend
udeležiti se	attend
prisluhniti	attend
ukvarjati se	attend
čuvaj	attendant
pozoren	attentive
podstrešje	attic
obleka	attire
obleči	attire
poza	attitude
privlačiti	attract
lastnost, atribut ; lastnost ; atribut	attribute
drzen	audacious
avdio-vizualna predstavitev	audio-visual presentation
avdiovizualna oprema	audiovisual equipment
avdiovizualna sredstva	audiovisual media
pregled (finančnega poslovanja), revizija	audit
povečati	augment
obetaven	auspicious
odobritev ; pooblastilo	authorisation
avtoritaren	authoritarian
pooblaščen	authoritative
organ oblasti, vladni organ	authority body
avtorstvo	authorship
samodrštvo	autocracy
ekologija vrst	autoecology
avtomobilska industrija	automobile industry
obdukcija	autopsy
prost	available
plaz	avalanche
zaščita pred plazovi	avalanche protection
