Norwegian	﻿English
bøg (m)	gay
folkemord	genocide
geografi	geography
geometri (f)	geometry
germanium	germanium
geysir	geyser
spøkelse (n); gjenferd; gjenganger; fantom (n); ånd; dauding; skrømt; gespenster; draug; sjel	ghost
ingefær (m)	ginger
gi 	give
isbre (m)	glacier
global oppvarming	global warming
vante (m); hanske (m)	glove
reise; fare; dra	go
målvakt (m)	goalkeeper
nisse	goblin
gud (m)	god
gull (n)	gold
kongeørn	golden eagle
gullfisk	goldfish
golf	golf
gondol	gondola
gonoré	gonorrhea
god; godt	good
god dag	good day
lykke til	good luck
god natt	good night
adjø; farvel; avskjed; hadet bra; hadet; ses; snakkes; hei 	goodbye
google; googla 	google
gås	goose
stikkelsbær (n)	gooseberry
hønsehauk	goshawk
regjering	government
grammatikk	grammar
barnebarn	grandchild
sønnedatter 	granddaughter
bestefar; morfar 	grandfather
bestemor; mormor (m); farmor (m) 	grandmother
sønnesønn 	grandson
drue (m)	grape
gress (n)	grass
gresshoppe (f)	grasshopper
kirkegård (m); gravlund; leggplass	graveyard
flaggspett	great spotted woodpecker
kjøttmeis; talgmeis; talgokse (m)	great tit
grønn	green
grønn te	green tea
grønnspett	green woodpecker
grå	grey
gråhegre	grey heron
grågås	greylag goose
gåsegribb	griffon vulture
guava	guava
skyld	guilt
perlehøne	guinea fowl
marsvin (n)	guinea pig
gitar	guitar
måke (f)	gull
sigøyner (m); sigøynerske (f)	gypsy
hafnium	hafnium
hagl (n)	hail
hår	hair
hadj (m) 	hajj
hengekøye (f)	hammock
hamster (m)	hamster
hand; hånd (m)	hand
bakrus (m)	hangover
foregå; inntreffe; skje	happen
lykke (m); glede (m)	happiness
heldig	happy
gratulerer med dagen	happy birthday
platelager	hard drive
hare (m)	hare
hasj	hashish
hassium	hassium
hatt (m); lue	hat
hate	hate
hat (n)	hatred
ha	have
høy (n)	hay
han	he
leder (m); sjef (m)	head
helse	health
høre	hear
hjerter (n)	heart
himmel (m); sky (m)	heaven
piggsvin (n); pinnsvin (n)	hedgehog
hel (m)	heel
helikopter (n)	helicopter
helium	helium
helvete (n)	hell
hallo	hello
hjelpe	help
hamp	hemp
høne	hen
henne 	her
hit	here
helt (m)	hero
hegre; heire (m)	heron
hei	hi
ås (m)	hill
hans; sin 	his
historie (f)	history
slå	hit
holmium	holmium
hjem (n); heim (n)	home
homofobi	homophobia
honning (m)	honey
hov (m)	hoof
håpe	hope
geithams (m)	hornet
hest (m)	horse
hestesko (m)	horseshoe
sykehus (n)	hospital
varm; het	hot
hotell	hotel
time	hour
hus (n)	house
hvordan har du det	how are you
hvor mye koster det?; hva koster det?	how much does it cost
klem (m)	hug
menneske	human
menneske (n)	human being
menneskerettigheter	human rights
humanisme	humanism
hundre	hundred
sulten	hungry
jakt	hunt
orkan	hurricane
ektemann; husbond	husband
hydrat (n)	hydrate
hydrogen; vannstoff	hydrogen
hyene (m)	hyena
steinbukk	ibex
iskrem (m); is (m)	ice cream
isfjell; isberg	iceberg
isbryter	icebreaker
idé (m)	idea
idiom	idiom
idiot (m)	idiot
hvis; om; når	if
magmatisk bergart	igneous rock
syk	ill
innvandring	immigration
alvorlig; betydelig; viktig	important
i	in
innhold (m); indeks (m); innholdsfortegnelse (m)	index
indium	indium
infeksjon (m)	infection
inflasjon	inflation
informasjon (m)	information
skade (m)	injury
blekk (n)	ink
sinnssykdom	insanity
insekt (n)	insect
insulin	insulin
intelligens (m)	intelligence
interesse (m)	interest
interessant	interesting
forbrenningsmotor	internal combustion engine
tolk	interpreter
tarm (m); tarmer	intestine
jod	iodine
iridium	iridium
strøk (f)	iron
er	is
øy (m)	island
det	it
elfenben	ivory
kaie	jackdaw
nøtteskrike 	jay
manet	jellyfish
jihad (m)	jihad
joule	joule
journalistikk	journalism
reise	journey
dommer (m)	judge
juice; jus	juice
hoppe	jump
einer (m)	juniper
kenguru (m)	kangaroo
falk; hauk	kestrel
nøkkel (m)	key
tastatur (n)	keyboard
drepe	kill
konge (m)	king
kongerike (n); kongedømme (n); kongeriket	kingdom
kysse	kiss
kjøkken (n)	kitchen
kattunge (m)	kitten
kne (n)	knee
kniv (m)	knife
ridder	knight
kjenne	know
kunnskap	knowledge
koala (m)	koala
krypton	krypton
marifly; marihøne	ladybird
marifly; marihøne	ladybug
lam (n)	lamb
land (n)	land
språk 	language
lantan	lanthanum
lerk	larch
stor	large
laser (m)	laser
sist	last
latter (m); lått (m)	laugh
